Guitarwolf,,2060,1609501,0
Freehk,,2103,1609485,0
Korzero,,2109,1609461,0
Koowrok,,2089,1609442,1
Autokrator,,2108,1609429,0
Chinadv,,2060,1599463,0
Chinax,Champion,2080,1599409,0
Chinadige,,2054,1589495,0
Luanzi,,2051,1589491,0
Tutu,,2089,1589451,1
Korkenshin,,2054,1589451,0
Chinadoll,"War Hero",2054,1589439,0
Korjia,,2080,1589414,0
Korok,,2060,1589406,1
Korclc,,2050,1579483,0
Ciri,,2070,1579445,2
Dddddd,,2072,1579443,1
Korizone,,2075,1579424,0
Korddoti,,2012,1569495,3
Mage,"War Hero",2094,1569471,2
Korls,,2002,1569406,1
Korgwaja,,2016,1559595,1
Crazycoin,,2026,1559488,0
Cnjoy,,1988,1559452,0
Korsb,,1991,1559434,7
Chinawang,,2044,1549536,2
Hwangvince,,2056,1549525,1
Korea,,2050,1549419,0
Korsoheee,,2030,1539523,5
Moblmonstr,"War Hero",2050,1539489,1
Kormessi,,1952,1539454,1
Korbud,,2012,1539450,0
Agomi,,2004,1539405,2
Chinatiger,,2035,1529531,1
Korboogi,,2010,1529513,1
Korea,,2044,1529477,3
Korfire,,2056,1529464,4
Chinawuya,,1926,1529453,1
Korhell,,2073,1529438,1
Kogres,,1961,1529435,2
Rurzen,,2066,1519625,2
Irgud,,1712,1519464,2
Orat,,1834,1519449,3
Triggus,,1920,1519421,0
Chinatang,,1989,1509565,1
Chinayff,,1993,1509503,0
Korm,,1998,1499551,0
Glhavefun,,2040,1499504,0
Zjzhw,,2030,1499446,0
Korbbamano,,1977,1499445,0
Isotom,,1899,1499422,0
Flyingfish,,1938,1499406,2
Chinaz,,2015,1489626,1
Evorca,,2006,1489609,4
Ruveter,,2054,1489524,0
Aeowyn,,2000,1489519,1
Korboge,,1983,1489508,2
Isak,,2023,1489494,1
Sunny,,1863,1489492,1
Durcos,,2051,1489478,1
Chinalj,,2001,1489473,3
Korguncha,,1822,1489447,1
Testies,,1972,1489430,1
Korjun,,2001,1489415,3
Crazychina,,1852,1479535,0
Nipsanhips,,1936,1479525,4
Argon,,1948,1479484,1
Byroad,,1994,1479469,1
Kornio,,1979,1469628,2
Dragoness,,1993,1469519,0
Chinax,,1888,1469514,3
Xingzai,,1809,1469504,3
Three,Challenger,2011,1469478,6
Imnoobs,,1859,1469451,2
Korsarman,,1992,1469432,2
Korduna,,1943,1469421,1
Koreajob,,1770,1459645,0
Yeolmoo,,1953,1459611,0
Gogo,,1774,1459564,0
Chinalll,,1943,1459521,4
Kagi,,1779,1459413,1
Yujue,,1959,1459412,5
Korparapra,,1622,1459405,0
Sheba,,1751,1449465,0
Liamox,,1251,1449464,4
Allmight,,1648,1449437,3
