Guitarwolf,,2123,76,162,591,0
Kormccol,,2160,76.38,161,509,0
Korz,,2053,75.77,160,497,0
Koriori,,2117,76.23,160,512,0
Korni,,2115,76.38,160,520,1
Kore,,2100,76.38,160,544,1
Chinadv,"War Hero",2098,76.31,160,562,0
Korclc,,2103,76.31,160,590,0
Chinajoker,,2112,76.15,159,573,3
Secret,Centurion,2117,76.15,158,513,2
Chinadoll,"War Hero",2123,76.08,158,557,2
Korshin,,2071,76.23,158,579,0
Apple,,1998,75.62,158,590,2
Korsohe,Warlord,2080,75.69,157,555,3
Moblmonstr,,2116,75.69,157,559,4
Hehe,,2095,76.38,157,565,2
Momochi,,2127,76.38,156,459,2
Gore,Challenger,2088,76.46,156,557,1
Korgogo,,2007,75.38,156,561,2
Gema,,1968,75.85,155,431,0
Korsoondae,,2074,76.46,155,498,0
Jorcem,Challenger,2023,75.69,155,534,0
Theoden,,2078,75.69,154,543,0
Nati,,1909,75,154,596,0
Hwangvince,,2034,75.85,153,449,1
Chinav,,2140,76.62,153,483,1
Chinaps,,2057,75.92,153,516,1
Mrtest,,2013,75,153,522,2
Flyingfish,,2026,75.15,153,552,2
Korazog,,1934,74.92,153,552,2
Chinalj,,2046,75.08,153,571,2
Ojiha,Challenger,2112,76.15,153,575,0
Sarman,,2080,75.69,152,464,2
Korjun,,2097,76.15,152,475,0
Avem,,2014,75.69,152,482,2
Kortwice,,2011,75.77,152,523,0
Chinacrow,,1998,74.85,152,527,3
Isak,Challenger,1987,75.92,152,554,4
Cheesy,,2066,75.31,152,570,1
Shade,,2048,75.23,152,574,0
Chinaz,Challenger,2040,76.15,151,443,1
Osmund,,2011,74.77,151,494,0
Chinacoin,,2082,75.46,151,502,5
Okrerkok,Centurion,2081,75.62,151,533,0
Yeolmoo,,2085,75.77,151,557,1
Byroad,,2006,75.23,151,576,3
Korseon,,2096,75.54,151,577,2
Odrim,,2052,75.54,151,587,4
Korando,,2053,75.46,151,595,0
Fayella,,2003,75.92,150,392,0
Korbud,,1960,73.85,150,421,0
Cesi,,1951,75.62,150,461,0
Korando,Challenger,2064,75.15,150,486,0
Spor,,1977,74.77,150,553,0
Korwitch,,2060,75.85,150,594,1
Korahak,,2007,75.85,149,501,4
Rulol,,2060,75.15,149,565,1
Lusiss,,2001,74.54,149,589,2
Ruveter,,2111,75.38,148,445,2
Xiaoye,,2043,75.77,148,471,1
Chinalll,,1977,75.15,148,478,1
Azrael,,1997,75,148,498,3
Ahat,,1882,75.38,148,517,1
Sijorki,,2084,75.31,148,526,6
Boop,,1894,75.08,148,526,1
Rudyx,,2082,75,148,527,0
Grymsch,Centurion,2010,74.54,148,538,5
Kordevils,,2008,75.54,148,547,2
Vortema,,1915,75.85,148,548,6
Eturkil,,2011,74.85,148,588,8
Korhyoung,,1787,75.15,148,597,2
Arode,Challenger,1902,75.23,147,337,0
Victo,,2046,76.38,147,387,0
Mihe,,1301,75.08,147,423,0
Chinax,Challenger,2050,75.69,147,454,3
Acalil,,1951,75.15,147,461,1
Asun,,1966,75.08,147,481,5
Boudica,,1714,75.08,147,510,7
Dovete,,1902,74.15,147,520,4
Nipsanhips,,2039,75.77,147,535,4
Neigui,Challenger,2005,75.31,147,549,2
Pinkd,,2000,75.31,147,579,1
Korsubun,,2054,75.46,146,431,1
Covidwtf,Challenger,2096,74.77,146,450,0
Korpop,,1964,76.08,146,464,1
Chinacrazy,Challenger,1890,75.31,146,470,0
Kkkkk,,1925,75.08,146,484,4
Chinabob,,2073,75.62,146,502,2
Wacky,,1889,74.85,146,509,2
Rire,,1955,74.92,146,525,1
Zuka,,1763,75.08,146,532,1
Jinjinwwa,,2016,75.69,146,564,0
Kortw,Challenger,2031,75.31,146,571,2
Nonut,Challenger,1899,75.23,146,574,5
Kige,,1934,74.85,146,589,2
Koroppa,,2000,74.92,146,591,3
Kenny,,1856,74.77,146,593,1
Keshot,,2028,75.92,146,594,1
Chinaroot,,1851,74.92,145,261,0
Koruiou,,1961,74.46,145,275,0
Acin,,2003,74.54,145,309,0
Koraoa,,1902,74.69,145,379,2
Korjuny,Challenger,1875,75.08,145,385,0
Cameltoe,,2100,75.08,145,387,0
Lore,,2027,76,145,398,1
Etnium,,1938,75.15,145,451,0
Ikilll,,1674,74.08,145,467,0
Success,Challenger,2001,74.92,145,491,1
Korlotto,,2008,74.38,145,513,2
Patek,,2009,75.23,145,525,0
Ruvata,Challenger,2073,75.08,145,568,0
Rugrass,Centurion,2045,75.38,145,579,0
Fastdude,,1798,74.69,144,511,13
Dubs,Challenger,1068,74.77,144,535,3
Loregan,Challenger,1732,75.23,144,539,5
Tasha,,1975,75.46,143,299,1
Azom,,1949,75.62,143,411,3
Caixukun,,1991,75.54,143,411,3
Ihata,Challenger,1527,73.85,143,415,2
Ohoo,,1711,74.62,143,421,1
Thanathos,,2013,74.92,143,441,1
Godinbronz,,1834,74.08,143,446,0
Ehuri,,2030,75.15,143,466,4
Kish,,2035,75,143,485,3
Hueputalo,Centurion,2085,75.15,143,495,0
Narlacbsxi,,2035,74.92,143,497,1
Jaconia,,1689,74.69,143,503,4
Alexdeath,,1921,74.62,143,516,2
Korguy,Challenger,1923,75,143,532,5
Fhqwhgads,,1713,75.15,143,548,0
Alistin,,1843,73.62,143,552,3
Lavaki,Challenger,2030,75.92,143,558,3
Fantaghiro,,1968,73.85,143,567,4
Goaway,Challenger,1857,74,143,579,7
Korbruce,,2037,74.62,142,350,0
Rugrom,,1935,75.23,142,394,3
Vile,Challenger,2018,75.08,142,443,4
Korshark,,1995,75.23,142,474,2
Korone,,1883,75.46,142,489,0
Cerdami,,1681,74.38,142,508,2
Athem,,2038,75.31,142,511,1
Akema,,1863,73.46,142,564,0
Hhhhhwwwww,,1933,75.31,142,594,2
Fluffy,,2052,75.08,141,412,1
Dejavu,,2047,74.85,141,419,1
Korduna,,1949,74.69,141,484,0
Korsexy,,1884,74.15,141,502,3
Rubarb,,2028,75,141,513,2
Lecus,,2017,73.38,141,537,4
Korsoonho,,1886,74,141,539,5
Mogrerca,,2052,74.46,141,546,2
Vibe,,1413,74.77,141,572,1
Binz,Challenger,1643,74.54,141,587,13
Betula,,2029,74.62,141,589,2
Vietnamese,Challenger,1917,74.54,141,597,3
Huta,,1899,73.54,140,281,1
Idizeg,Challenger,1969,74.46,140,282,0
Moonta,,1749,75.15,140,291,0
Hobat,,1972,73.23,140,341,1
Illun,Challenger,1481,74.92,140,356,1
Ehui,Challenger,2020,75.23,140,360,7
Ladyjesz,Challenger,1839,74.69,140,366,1
Korlucia,Centurion,1980,74,140,367,1
Bouba,,2006,74.92,140,369,1
Jinx,,1992,75,140,376,4
Bomi,,1531,75.23,140,383,0
Marusia,,1972,73.92,140,385,2
Raga,,2027,75.08,140,429,0
Ekrug,,1495,73.31,140,451,1
Mishastyk,Challenger,2016,75,140,452,2
Zuven,,1924,74.92,140,456,0
Kowal,,1040,73.54,140,457,0
Chinameng,Warlord,1866,75,140,458,7
Korso,,1805,75.08,140,463,0
Liamox,,1470,75.46,140,479,7
Hugorune,,1823,74.77,140,482,0
Screamer,,1273,73.62,140,507,0
Poseidone,,1386,74.15,140,555,2
Rudafre,,1948,75.08,140,562,4
Korgood,,1855,72.85,139,479,0
Korion,,1859,74.85,139,492,2
Juzus,Challenger,2061,75.77,139,530,5
Tisan,Challenger,1300,73.77,139,562,5
Syrus,Centurion,2029,75.08,139,569,0
Korgold,,2033,74,139,585,5
Gomusin,,1677,74.77,138,298,2
August,,1573,73.62,138,343,2
Koronni,,2001,74.92,138,406,6
Kormica,,1950,74.54,138,423,0
Phor,Challenger,1110,74.08,138,426,1
Akreji,Challenger,1935,74.62,138,427,0
Koranes,,1551,74.77,138,429,3
Korkoko,,2014,74.85,138,434,11
Eustachy,,1634,74.23,138,440,0
Korstorm,Challenger,1863,74.08,138,443,4
Nkpark,,1936,74.77,138,448,3
Hilizi,Challenger,1817,74.08,138,452,0
Baletta,,1989,74.38,138,478,6
Korbansung,,1834,74.46,138,494,5
Feniks,,1989,74.46,138,497,6
Tava,Challenger,1765,74.62,138,498,3
Monarch,,1852,75.38,138,500,4
