Puff,,2001,75.13,157,542,1
Korbural,,2078,74.88,153,509,0
Anba,,1905,74.06,153,558,0
Korggagga,,2002,74.81,153,592,1
Rudyx,,1937,74.13,152,592,1
Korgwaja,,1960,74.69,149,499,2
Koryalacha,,1943,74.38,149,562,1
Chinaxin,Warlord,1969,74.25,148,511,1
Limai,Challenger,1941,74.56,147,538,1
Fixthegame,,1451,73.44,147,564,1
Sijorki,,1818,74.13,147,587,3
Korjune,,1881,73.19,146,536,4
Korggolcho,,1880,73.44,146,541,3
Mage,,1903,73.94,146,554,1
Sauzer,,1874,73.38,146,567,2
Ladydee,,1848,75,144,523,2
Smile,,1941,74.5,144,527,2
Owyeah,,1501,72.94,144,535,0
Chinasy,,1922,74.13,144,552,4
Mansaok,,1908,74.63,144,554,6
Solida,Centurion,1954,74.31,144,572,2
Erisa,,1750,74.31,143,492,3
Anbwispy,,1834,73.69,143,518,0
Deffo,,1335,73.69,143,575,1
Niko,,1902,74.38,143,587,1
Korsoso,Warlord,1719,73.56,142,487,5
Gordi,Warlord,1712,73.19,142,517,3
Tuca,,1757,74.06,142,591,2
Abucs,,1877,73.44,141,470,2
Hegemony,,1906,73.69,140,500,3
Alistin,Challenger,1734,73.44,140,554,0
Runub,,1575,73.69,140,570,5
Davinci,,1641,73.13,139,467,1
Korbbulso,,1859,73.69,138,220,1
Roke,,1885,73.94,138,415,2
Erzaph,,1636,72.94,138,503,4
Korsoondae,,1722,74.94,138,532,7
Rasta,,1733,73.56,138,567,0
Rory,,1724,74.44,137,539,8
Shestar,,1486,73.19,137,573,7
Tenzin,,1618,74.13,136,455,0
Bigdog,,1426,73.69,136,460,2
Hokaoneone,,1656,73.63,136,496,6
Rani,,1624,73.69,136,558,3
Khanhkk,,1542,72.81,136,565,6
Weras,,1567,74,135,292,1
Gitae,,1632,73.25,135,348,1
Koriris,Centurion,1361,73.13,135,368,1
Newyear,,1351,73.75,135,414,3
Ofrudik,,1638,73.56,135,449,3
Azel,,1551,73.94,134,464,4
Lathafre,,1255,73.06,134,559,1
Korentry,,1852,73.31,133,330,3
Chinala,,1861,73.81,133,442,2
Oooo,,1866,73.81,133,471,3
Thundarr,,1610,72.88,133,500,0
Ojeshat,,1643,73.25,133,541,1
Korlaren,,1709,74.06,132,285,4
Korhana,,1346,72.88,132,522,0
Ticiz,,1666,74.25,132,538,6
Kurczak,,1542,73.75,132,553,4
Citha,,1096,73.69,132,585,12
Ekorzan,,1364,73.69,132,585,4
Yigefashi,Challenger,1630,74.06,131,453,0
Sannan,,1570,73.38,131,498,2
Jendza,,1658,73.5,131,526,5
Rellim,,1537,73.94,131,547,1
Diana,,579,72.81,131,554,5
Evade,,1673,72.38,130,258,4
Quantrix,Challenger,1446,74,130,284,1
Monty,,1252,74.13,130,288,2
Zoni,,1474,73.19,130,365,5
Veri,,1275,72.75,130,393,1
Horde,,1278,72.31,130,407,7
Kotil,,1543,73.5,130,407,1
Vergun,,1602,73.44,130,488,0
Bingo,,1572,74.31,130,521,14
Infi,,1437,73.69,130,522,1
Zena,,1169,72.63,129,450,0
Coldet,,1605,73.13,129,473,1
Coughdrop,,1527,73.75,129,481,2
Methace,,1426,73.31,129,506,5
Ozizin,,1164,73.5,129,516,1
Freewalk,Challenger,1091,73.44,129,566,1
Krusty,,1313,73.06,129,569,3
Craftlover,,1851,73.44,128,304,1
Zavra,,1391,73,128,464,5
Nana,Challenger,1411,72.81,128,504,0
Strahd,,1077,73.44,128,504,5
Gosia,,1594,72.19,128,508,6
Runsk,,1359,73.31,128,545,2
Heromage,,1286,73.19,128,567,2
Rusyulat,,1408,73.19,128,573,1
Nada,,1240,74.56,128,576,1
Elam,,1308,73.13,127,417,3
Splendor,,1385,73.19,127,427,1
Enfermera,,1514,72.44,127,454,1
Whyme,,1448,73.06,127,538,6
Cody,,1379,73.31,127,550,3
Anbkahn,,1729,74.44,127,568,2
Sugar,,1566,74.25,126,390,2
Zygold,,981,73.06,126,434,13
Auri,,1356,73.31,126,453,1
Arkaitz,,1577,75.44,126,481,0
Korhano,,1557,73.31,125,199,1
Sheenis,,1348,73.69,125,335,0
Obotaz,,1299,73.75,125,360,11
Shock,,1563,72.63,125,360,7
Losa,,827,72,125,545,2
Rugrom,,1507,73.88,124,427,3
Gloomizz,,562,74.44,124,517,2
Bokchoy,,1391,73.81,123,337,0
Shalltear,,1033,73,123,359,5
Izeta,,1373,74.38,123,369,3
Sollod,,1146,72.31,123,372,1
Schmalz,Challenger,1376,73.19,123,526,4
Acica,Challenger,1584,73.06,123,551,1
Jess,,1181,72.56,123,557,1
Quester,,1244,72.88,123,561,5
Jisha,,1357,72.56,122,371,7
Dace,,417,73.5,122,428,3
Sebra,,1363,73.25,122,438,3
Fireweedz,,1357,73.38,122,445,3
Koka,,1559,72.81,122,456,5
Koryunyun,,1431,72.94,122,460,18
Berdy,,1242,72.94,122,473,3
Baning,,1097,73.06,122,476,1
Goldaxp,,1054,73.19,122,496,1
Herd,,1307,72.75,122,505,0
Chinamql,,832,73,122,525,2
Rivel,,1576,72.81,122,577,8
Jandoria,Challenger,1357,73.56,122,594,4
Orcaris,,1052,74.81,121,304,2
Chinay,,1681,73.63,121,326,2
Rumina,,1249,72.25,121,340,4
Movra,,1327,72.63,121,482,2
Rupmr,,1247,72.44,121,562,8
Coso,,784,72.31,121,576,6
Ajaz,,873,72.81,121,578,0
Irduvra,,1400,73.94,121,588,7
Rylie,,1161,72.5,120,243,0
Turmocast,,1262,72.63,120,288,0
Arusa,,1474,72.38,120,317,4
Evebu,,1055,72.31,120,337,6
Hugorune,,1509,73.13,120,343,3
Casper,,1202,72.5,120,344,3
Kushananb,,1341,72.5,120,345,5
Gunus,,835,73.25,120,411,1
Irzive,,862,72.13,120,414,3
Dethet,,1519,72.75,120,423,7
Mousse,,1506,73.44,120,427,2
Superstar,,1001,73.13,120,443,0
Oshat,,1022,72.69,120,468,2
Zumi,Challenger,1417,73.63,120,469,2
Elsaki,,1352,72.56,120,516,2
Saty,,1064,72.06,120,547,7
Gelky,,1173,72.63,119,340,0
Wdnmd,,1070,72.31,119,418,0
Zephyr,,1317,72.25,119,427,4
Maple,,1026,73.13,119,473,15
Kokrhel,,1167,73.38,119,475,2
Adras,,654,72.63,119,490,3
Straya,,1104,74.06,119,501,0
Jessica,,924,72.75,119,515,1
Qarabagaze,,1073,72.5,119,576,1
Rwubaby,,1029,72.63,118,368,1
Jazerca,,1197,72,118,417,1
Ichutot,,1402,72.13,118,441,3
Periculo,,1085,73.13,118,453,4
Lira,,1018,73.44,118,485,3
Luna,,1373,72.5,118,488,7
Morgana,,1102,73,118,534,3
Yingyang,,1023,73.81,118,547,1
Aretuza,,502,72.13,118,558,3
Gunras,,1023,72.69,118,561,0
Opti,,937,72.25,118,563,4
Ruabs,,1029,72.56,117,387,1
Nonra,,1249,72.63,117,429,5
Tennus,,559,72.88,117,434,1
Chinayes,,1202,72.75,117,491,9
