Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Chinadige;Champion;2001;74,56;152;554;295;0;191;1;
Guitarwolf;;2001;74,25;152;570;296;0;191;2;
Chinadv;"War Hero";2018;74,88;152;581;287;0;193;1;
Korsar;;2001;74,25;152;588;278;0;190;2;
Byroad;;1980;74,56;152;594;309;0;190;2;
Aplle;;1916;74,38;151;591;285;0;189;1;
Korkenshin;"War Hero";2005;74,38;151;596;245;0;190;0;
Wuyanzu;;2011;74,69;150;573;284;0;198;0;
Chinadoll;"War Hero";2031;74,88;148;477;248;0;194;3;
Chinaf;;1975;74,38;148;564;275;1;184;0;
Mistresses;Challenger;1958;74,63;147;523;245;0;189;1;
Korjun;;1928;73,88;147;588;302;1;185;3;
Jinkisan;;1961;74,63;147;599;268;0;192;3;
Korgogo;;1917;74,06;146;540;221;3;176;3;
Romme;;1953;74,06;146;569;263;0;192;7;
Trigg;;1782;74,31;146;582;230;2;184;1;
Chinals;;2001;74,88;145;398;174;4;176;2;
Chinaz;Challenger;1970;74,38;145;495;188;3;180;1;
Chinahehe;;2040;75,00;145;501;165;1;188;5;
Chinaroot;;1879;74,19;145;516;217;2;190;3;
Tldridd;;1931;73,38;144;583;200;5;162;0;
Keve;;1808;73,44;144;585;275;0;185;1;
Yeolmoo;;1919;74,00;143;486;221;3;176;0;
Chinaeagle;;1824;73,75;143;509;250;1;187;0;
Gedi;;1912;74,31;143;530;237;0;186;0;
Seven;;1905;74,31;143;565;240;6;166;1;
Korgoo;;1903;73,94;143;583;118;0;192;2;
Vamp;;1812;73,88;142;490;185;9;143;1;
Sarman;;1887;74,00;142;525;203;6;153;1;
Nonalla;;1837;74,13;142;537;255;4;172;5;
Korbasic;;1941;74,06;142;562;204;2;179;3;
Lore;;1682;74,13;142;568;272;2;179;2;
Angelina;;1940;74,19;142;570;252;0;185;1;
Nimiral;;2001;74,75;142;574;250;0;193;0;
Congtoulai;;1885;73,69;142;599;276;4;172;6;
Rulol;;1895;73,56;141;457;234;0;187;1;
Loser;;1838;73,81;141;484;199;10;142;4;
Terracotta;;1888;74,25;141;498;247;6;157;3;
Bluelint;;1908;73,94;141;510;231;3;173;2;
Mithe;;1851;74,06;141;542;275;9;142;7;
Atim;;1928;73,94;141;557;241;10;138;4;
Korzard;;1868;74,38;141;557;196;11;130;3;
Vovaba;;1907;74,25;141;560;207;2;177;1;
Adnozus;;1863;74,13;141;578;216;3;175;8;
Korbud;;1974;73,13;140;353;157;3;181;0;
Kitty;;1663;74,31;140;362;140;4;176;1;
Watson;Centurion;1903;73,50;140;373;133;0;193;0;
Nedna;;1825;74,19;140;444;159;14;123;0;
Grymsch;;1940;73,69;140;455;138;11;138;4;
Nipsanhips;;1899;74,25;140;574;116;17;102;5;
Kormagun;Challenger;1804;73,81;140;595;211;8;151;2;
Runagib;;1823;74,25;139;528;209;7;152;4;
Nexis;;1869;73,19;139;570;254;11;131;4;
Korok;;1930;74,44;139;598;329;3;174;1;
Covidbs;;1962;73,38;138;443;210;0;186;1;
Korbong;;1836;73,88;138;463;183;3;170;1;
Amaz;;1740;72,75;138;496;251;7;155;3;
Korkoong;;1911;72,94;138;545;188;2;178;1;
Rumakc;;1826;73,81;138;555;158;14;116;2;
Korvvoo;;1873;73,69;138;562;208;8;148;2;
Pooley;;1698;73,94;138;568;212;9;141;3;
Chinapp;;1823;74,06;138;582;281;3;180;7;
Koridney;;1936;74,13;137;435;203;7;156;3;
Boma;;1606;73,81;137;518;213;8;144;4;
Korea;;1915;74,13;137;531;252;4;168;5;
Alistin;;1611;73,81;137;531;172;7;152;3;
Ffengya;;1748;73,25;137;557;272;8;148;9;
Michyg;;1554;73,56;137;569;183;9;143;3;
Akerda;;1490;73,31;136;414;153;7;153;0;
Rufedya;;1651;72,56;136;419;203;1;184;1;
Chinatang;;1876;73,81;136;429;217;16;115;7;
Eorwynne;;2005;73,38;136;460;177;8;146;2;
Narwgold;;1599;73,38;136;477;183;3;172;2;
Koraden;;1912;72,88;136;523;126;4;164;1;
Oppa;;1586;73,94;136;557;251;9;148;4;
Vietnamese;;1630;73,94;136;595;192;14;119;13;
Veni;;1476;72,50;135;390;170;2;184;0;
Korsexy;;1814;74,13;135;435;125;9;148;3;
Dubs;;1078;73,94;135;444;178;17;108;3;
Kagum;;1864;73,31;135;505;130;10;145;2;
Qwerty;;1584;73,69;134;444;190;8;150;9;
Zuda;;1781;72,81;134;480;58;3;176;1;
Ruvata;;1917;72,56;134;491;249;11;133;6;
Kkkkk;;1805;73,94;134;493;120;3;175;3;
Chinayi;;1688;73,50;134;504;203;14;117;1;
Haiyang;;1828;73,19;134;506;181;6;159;7;
Dascth;;1489;73,63;134;565;289;9;143;9;
Sesess;;1474;73,13;134;576;269;9;147;1;
Kinggura;;1654;72,69;134;598;253;4;169;4;
Bayag;;1508;73,50;133;438;172;8;149;2;
Gorak;;1123;73,00;133;519;196;3;170;0;
Alana;;1281;73,31;133;530;168;17;111;8;
Ruymayka;;1927;73,25;133;546;273;0;193;8;
Rudimental;;1856;73,75;133;559;215;11;135;4;
Fantagiroh;;1610;73,50;132;340;160;13;126;2;
Rugood;;1534;73,25;132;426;147;8;149;1;
Caguz;;1523;73,63;132;513;360;5;171;4;
Tbag;;1770;74,13;132;535;224;19;103;4;
Korfate;;1530;73,31;132;538;339;2;183;3;
Dibao;;1574;73,81;132;543;268;4;166;5;
Mristerx;;1511;72,69;131;289;140;10;142;3;
Orkori;;1491;73,50;131;338;124;19;99;0;
Amiti;;1766;73,81;131;423;79;2;178;3;
Syrus;;1316;73,69;131;470;150;14;127;1;
Kimahyun;;1560;74,06;131;493;149;0;188;2;
Miki;;1053;71,81;131;509;179;7;150;1;
Rutomas;;1749;73,13;131;540;216;7;153;6;
Coge;;1635;73,75;131;542;397;11;157;6;
Neon;;1193;73,31;131;542;119;14;124;2;
Krasss;Challenger;1962;74,06;131;570;132;20;88;7;
Chinacccl;;1653;73,44;130;257;108;3;182;0;
Korboss;Challenger;1507;73,56;130;257;123;14;128;0;
Feiniao;;1479;73,44;130;263;107;1;191;0;
Chinalz;;1650;72,75;130;285;124;6;164;0;
Chinayf;;1780;73,94;130;360;93;9;150;6;
Korion;;1188;73,00;130;365;155;7;164;2;
Nerdgirl;;1860;74,00;130;375;130;5;171;6;
Caixukun;;1910;73,88;130;385;105;5;171;11;
Chinanabi;;1363;72,94;130;424;202;6;171;1;
Jeambeams;;1826;73,56;130;465;102;3;178;11;
Zkai;;1576;73,19;130;467;123;11;140;0;
Egin;;1538;73,19;130;467;80;9;142;0;
Enarya;;1369;72,31;130;504;136;13;132;11;
Oneg;;1605;73,69;130;508;143;16;111;11;
Ambeckett;;1573;72,94;130;521;33;12;129;2;
Ambeckett;;1810;72,44;130;531;102;8;150;0;
Korgold;;1748;73,56;130;535;35;18;100;14;
Wacky;;1865;73,44;130;535;56;13;122;7;
Jias;;1429;73,81;130;574;211;3;181;4;
Orcas;;1811;72,88;129;492;183;9;147;8;
Zeta;;1475;73,69;129;585;105;10;144;0;
Discordia;;1157;73,00;129;589;233;16;107;11;
Ahik;;1810;74,06;128;326;72;15;112;0;
Nkpark;;1628;72,81;128;400;182;8;153;6;
Drabek;;1298;72,75;128;524;215;9;144;7;
Anrutha;;1459;73,13;128;525;184;3;173;11;
Nores;;1637;73,63;128;547;235;3;173;4;
Chinacofor;;1564;72,50;128;562;267;10;143;0;
Ardima;;1426;72,56;128;574;265;12;129;0;
Tutinatar;;1233;72,56;128;589;205;6;161;1;
Sexmaster;;1693;73,13;127;346;103;17;111;6;
Obis;;1356;72,63;127;382;149;12;128;5;
Kortiger;;1483;74,19;127;432;46;6;157;5;
Illonim;;1246;72,75;127;452;192;5;166;3;
Juni;;1351;73,00;127;489;200;13;132;8;
Kormoveone;;1655;73,50;127;525;33;16;103;3;
Erebrod;;1489;73,19;127;588;249;15;114;5;
Rudy;;779;74,75;126;363;31;11;129;1;
Tisan;;1461;73,44;126;496;261;10;143;2;
Korbruce;;1656;73,44;126;507;291;4;167;4;
Apple;;1474;73,25;126;509;80;14;127;14;
Zebi;Challenger;1427;73,25;126;509;205;15;116;13;
Etaza;;1534;73,81;126;511;277;5;168;9;
Carge;;1439;73,63;126;556;279;18;102;12;
Chinaai;;1664;73,13;125;260;88;7;160;0;
Deke;;1479;74,13;125;264;56;13;127;3;
Chinakai;;1319;73,31;125;305;163;3;181;0;
Ruoleg;;1569;73,69;125;306;53;16;114;5;
Lavaki;Challenger;1789;74,56;125;312;67;6;160;0;
Marry;;1450;73,00;125;326;67;11;138;1;
Chinajj;;1462;73,31;125;356;102;23;76;5;
Ogudad;;1682;73,56;125;365;64;5;171;12;
Slayerz;;1329;72,75;125;388;140;8;159;2;
Korea;;1675;72,69;125;413;138;9;155;4;
Mojiba;;1618;73,81;125;414;25;11;138;3;
Benedicto;;1543;74,31;125;437;208;4;178;0;
Korbgh;;1326;73,56;125;459;123;7;161;9;
Koreaaaaa;;1656;73,19;125;467;97;7;157;3;
Aaaaaaaaaa;;1581;73,31;125;498;110;12;125;2;
Loylo;;1645;73,25;125;520;118;3;179;3;
Freya;;1225;74,25;125;536;52;19;96;2;
Korgood;;1420;73,50;124;377;154;7;159;3;
Leeholim;;1218;72,31;124;438;66;15;118;2;
Bstizzle;;1271;73,81;124;478;250;12;131;0;
Irzurzi;;552;71,94;124;494;193;13;125;1;
Coffee;;1630;73,06;124;527;121;12;131;2;
Itim;;1397;73,38;123;375;92;11;146;1;
Karte;;1562;72,63;123;394;187;15;113;10;
Escopia;;1251;72,88;123;446;75;23;84;12;
Anrhfflq;;1383;72,56;123;457;142;3;169;1;
Korship;;1290;72,50;123;468;194;8;153;9;
Chinahome;;1111;73,00;123;469;262;3;178;1;
Kormirte;;1702;72,38;123;475;159;14;124;7;
Coldet;;1405;73,63;123;500;184;9;147;5;
Chinaxf;;1935;74,44;123;535;76;7;161;22;
Farmacia;;749;73,38;123;551;161;6;151;1;
Siremipl;;1288;73,94;123;575;126;12;126;6;
Soarer;;1113;72,50;123;587;358;15;116;5;
Beowulf;;1708;73,56;123;596;212;17;123;5;
Chinahe;;1327;73,44;122;332;169;20;87;2;
Jose;;1562;72,75;122;375;131;5;163;4;
Eniluk;;1392;72,31;122;400;207;16;110;5;
Hakez;;887;72,69;122;442;218;12;131;0;
Lancelot;;1770;72,94;122;455;243;8;164;2;
Rukram;;1542;73,69;122;489;126;16;107;6;
Korbidri;;1260;73,00;122;497;78;21;79;11;
Abutha;;959;72,63;122;524;22;5;166;0;
Zephyr;;1058;73,63;122;531;120;8;147;1;
Asidnak;;1019;73,81;122;534;123;12;138;3;
Ivanovna;;666;73,00;122;557;95;10;135;7;
Korlondon;;1353;73,25;122;567;160;8;154;14;
Zama;;1395;72,94;122;572;148;17;101;10;
Fastmofo;;993;72,94;122;577;204;5;165;13;
Zdzislaw;;1180;72,94;122;594;293;8;147;1;
Kent;;1276;73,56;121;341;103;8;152;4;
Chode;;1011;73,44;121;360;83;17;106;4;
Bronzie;;1170;73,06;121;381;43;17;102;2;
Marusia;;1623;72,75;121;392;121;21;88;7;
Lexi;;1265;73,56;121;415;129;14;121;4;
Silversnow;;1420;72,88;121;428;72;21;90;6;
Dogbird;;1284;73,50;121;431;38;8;147;2;
Groza;;1504;72,88;121;432;195;0;187;0;
Golden;;999;73,44;121;435;75;14;120;6;
Oluk;;1665;72,63;121;435;83;12;127;5;
Kira;;1143;72,38;121;452;179;3;173;0;
Arawn;;999;72,38;121;485;94;6;162;2;
Gabby;;438;73,06;121;498;50;18;101;10;
Urmom;;1248;73,13;121;531;259;16;108;2;
Acamuz;;1126;72,69;121;541;305;5;161;8;
Otenrem;;1468;73,38;121;546;162;19;93;5;
Echun;;840;73,38;121;549;333;18;119;12;
Nevabe;;1269;72,81;121;563;188;13;125;7;
Talos;;814;72,69;121;573;228;9;145;8;
Ripley;;1455;72,56;121;597;277;18;97;9;
Korclc;;1977;74,25;120;201;33;11;136;1;
Bluesteel;;1791;72,88;120;301;42;9;150;11;
Nithethi;;1280;72,69;120;306;92;8;152;4;
Irok;;1556;72,81;120;307;96;3;178;0;
Edruthod;;1275;72,63;120;312;60;12;132;8;
Belodni;;1586;72,69;120;313;99;3;177;3;
Ares;;1752;72,81;120;334;85;15;116;2;
Chinaqq;;1446;73,38;120;343;101;5;166;5;
Chinazs;;1376;72,56;120;345;114;14;125;3;
Thekhun;;1124;73,38;120;356;66;6;160;0;
Haisler;;1261;74,06;120;359;78;13;121;3;
Korail;;1368;73,63;120;362;77;13;138;3;
Xnedra;;1298;73,50;120;385;69;4;171;5;
Zood;;1436;73,38;120;386;77;18;105;14;
Oshicat;;946;72,50;120;397;147;11;143;2;
Alexis;;950;72,88;120;398;100;17;106;1;
Eventmax;;804;73,19;120;398;162;6;168;1;
Gici;;1335;72,88;120;417;117;12;140;18;
Kokos;;1452;71,88;120;419;92;13;126;2;
Ogrutuz;;1544;73,25;120;420;106;19;103;3;
Ikurce;;1061;72,50;120;431;83;7;152;2;
Berterdi;;1380;72,88;120;440;70;4;176;11;
Random;;1178;73,13;120;449;73;17;108;5;
Avem;;1140;72,56;120;468;166;10;151;2;
Xdarz;;612;73,38;120;481;106;15;132;0;
Chris;;1078;73,06;120;488;96;4;177;12;
Nanana;;1222;72,50;120;491;84;3;179;2;
Zidnuce;;860;72,06;120;506;72;16;113;10;
Beni;;1251;72,38;120;531;140;14;127;11;
Zerei;;1398;73,94;120;539;141;6;154;0;
Ncoeve;;769;72,63;120;542;116;6;161;8;
Artakus;;1389;73,00;120;550;142;6;161;2;
Ashakre;;832;73,38;120;551;137;9;142;1;
Irgoz;;769;73,50;120;573;40;13;127;2;
Kica;;585;72,69;120;574;218;12;138;0;
Jiren;;1214;72,94;120;579;83;7;156;8;
