Chinadv,,2048,74.88,154,574,0
Korps,,2072,75.13,154,575,1
Korji,,2030,74.81,154,582,0
Byroad,"War Hero",2036,74.75,153,562,0
Guitarwolf,,2032,74.69,153,563,2
Chinaf,,2021,74.31,153,572,0
Chinadige,,2051,74.75,153,592,0
Chinadoll,"War Hero",2039,74.81,152,492,0
Chinawind,,1972,74.5,152,540,1
Korhans,,2027,74.38,152,554,1
Korzard,,2028,75.13,152,556,1
Korshin,,2017,74.44,152,557,0
Combine,Challenger,2025,74.63,152,564,1
Chinamoon,,1983,74.31,151,594,2
Korfighter,,1957,74.56,150,542,1
Chinaroot,,1990,74.63,150,599,0
Alina,,1952,74.56,149,503,1
Amaz,,1925,74.31,149,570,1
Riri,,1938,73.88,149,583,1
Chinayang,,1922,74.56,148,453,0
Chinaboss,,1938,74.31,148,489,1
Chinajc,,1927,74.25,148,569,1
Chinaq,,2032,74.81,148,578,6
Koryeolmoo,,1970,74.06,148,585,0
Aruk,,2022,74.5,147,589,1
Chinaz,Challenger,2000,74.69,146,536,4
Korea,,1812,74.13,146,545,1
Noxlnt,,1948,73.88,146,548,3
Korwinter,,1905,73.5,146,581,4
Chinagg,,1906,73.81,146,590,1
Koryong,,1918,73.63,146,590,0
Chinanabi,,2022,74.25,145,350,0
Sufferer,,1905,73.31,145,502,0
Buva,,1904,73.94,144,469,1
Alistin,,1754,73.75,144,567,1
Sarman,,1920,73.94,144,597,5
Banet,,1919,74.31,143,434,2
Korbarba,,1853,74.31,143,446,1
Chinaeagle,,1930,73.88,143,486,2
Ragnar,,2023,74.06,143,496,0
Azrael,,1925,74.06,143,508,2
Tati,,1914,74.06,143,559,0
Baipiao,,1943,74.63,143,573,1
Runlolarun,,1906,73.94,143,591,1
Kordream,,1879,73.69,142,494,4
Maru,,1865,74,142,530,3
Cenruti,,1865,73.94,142,553,1
Xerxes,,1914,73.19,142,577,8
Chinalz,,1881,73.56,142,583,7
Deksing,,1819,73.06,142,594,3
Rumakc,,1837,73.69,141,498,3
Rufedya,,1771,72.94,141,520,6
Reign,,1732,73.75,141,523,4
Korcor,Warlord,1957,73.75,141,524,3
Korbuddha,,1989,73.25,141,554,2
Chinay,,1749,73.75,141,573,5
Dream,Centurion,1811,73.5,141,575,2
Kordamduk,,1953,73.5,140,343,0
Salis,,1705,73.56,140,455,1
Nagibator,,1854,73.75,140,455,0
Nipsanhips,,1924,73.81,140,515,2
Feiniao,,1932,74.31,140,516,3
Koreanice,,1788,73.38,140,579,0
Chinahehe,,1872,74.31,139,459,4
Enimi,,1910,74.25,139,548,1
Storm,,1807,74.38,138,395,5
Korok,,1838,73.25,138,439,1
Wacky,,1819,73.81,138,463,4
Chinatang,,1384,73.69,138,477,1
