Chinadv,,2100,75.13,155,546,0
Korji,,2081,75,155,562,0
Korfighter,,2095,75.13,155,590,5
Koronecue,,2062,74.63,155,597,0
Chinadoll,"War Hero",2105,74.94,154,547,5
Byroad,,2047,74.88,154,569,0
Bancheater,,2071,74.5,154,590,0
Korzard,,2100,75.13,154,596,2
Chinacctv,,2024,74.31,153,548,0
Kortyson,,2043,74.69,153,593,3
Chinahh,,2060,75.06,152,503,0
Forzamilan,Warlord,2080,75.13,152,549,5
Chinazc,Centurion,2054,74.81,152,553,1
Chinaeagle,Warlord,2076,75.19,152,572,2
Koryeolmoo,Warlord,2064,74.75,152,582,0
Chinayang,Centurion,2077,75.13,151,490,3
Nutella,,2056,74.56,151,516,1
Chinahaha,Challenger,2019,74.56,151,548,2
Combine,"War Hero",2079,74.31,151,558,2
Korsinta,,2001,74.56,151,561,2
Korgogo,,2002,74.56,151,577,2
Zkai,,1985,74.88,151,584,3
Nodab,,2005,74.69,150,520,0
Nabi,Challenger,2048,74.56,150,526,0
Chinayu,Centurion,2000,74.69,150,580,5
Korclc,,2069,74.75,149,540,1
Dige,,1918,74.38,148,531,3
Exploiter,,1994,73.69,148,553,3
Mulan,,2055,74.63,148,558,4
Slicedicex,,2035,73.88,148,560,1
Exploiter,,2048,74.31,148,591,4
Korazon,,2021,74.38,148,596,4
Deka,,2072,73.69,147,524,0
Kormansaok,,2059,74.44,147,570,3
Chinahehe,,1929,74.81,146,496,3
Chinalz,Challenger,1992,74.63,146,499,4
Korba,,2017,74.25,146,519,2
Chinahuzi,Challenger,2031,74.69,146,536,0
Etun,,2011,74.38,146,550,1
Chinaroot,,2050,74.25,146,552,1
Kortop,,1983,73.75,146,574,3
Nirdethe,Challenger,2001,74.94,145,464,0
Korbudda,,2068,74.06,145,501,0
Chinaaaaaa,,1741,73.81,145,538,0
Blackout,,1979,73.88,145,543,1
Jihin,,1949,74.56,145,573,1
Magnumdong,,2027,73.81,145,579,0
Chinag,,1953,74.56,144,499,0
Paragon,Centurion,2001,73.75,144,536,2
Tekra,,1986,74.25,144,561,8
Omerta,Centurion,1984,73.63,143,482,1
Robertoo,Centurion,1815,74,143,506,3
Primavera,,2005,73.81,143,512,5
Chinaq,,2040,74.94,143,539,2
Drabek,Centurion,1948,73.31,143,573,1
Chinaev,,1987,74.13,142,493,2
Azrael,,1989,73.88,142,520,2
Nipsanhips,,1952,73.75,142,527,5
Gretamilos,,1970,74.31,142,540,3
Cnmcnb,,1950,73.88,142,549,0
Tangchina,,1713,73.38,142,562,3
Narsilver,Challenger,1969,73.19,142,576,0
Chinady,,1859,74.06,142,592,4
Kordream,,1982,74,142,597,1
Vnstyle,Challenger,1903,72.44,141,472,0
Verusya,Centurion,2002,73.06,141,482,3
Chinamy,,2012,74.63,141,490,4
Debid,,1910,74.06,141,511,1
Velizara,,1939,72.69,141,560,3
Korbruce,,2019,73.75,141,561,1
Inverness,,1944,73.56,141,586,1
Erikasato,Challenger,1943,74,141,593,7
Miguel,,1940,74.13,140,329,0
Chinaivroz,Centurion,2000,74.44,140,329,0
Critter,,2000,72.88,140,374,0
Gogo,,2010,73.81,140,386,1
Koreaclass,Challenger,2000,73.38,140,391,1
Tomato,Challenger,1805,74.13,140,453,3
Korgold,,1916,73.44,140,475,0
Discordia,,1907,72.81,140,482,2
Kimhw,,1583,73.31,140,514,3
Korso,,1821,72.56,140,517,0
Korgarnet,Challenger,1954,74,140,528,0
Chinaxf,,2056,74.75,140,551,1
Chinayyyy,,1952,73.88,140,591,0
Jobruz,Challenger,1739,74.38,139,382,1
Chinataka,,2001,74.06,139,396,2
Chinajc,,1829,74.06,139,534,5
Chinachen,Challenger,1922,73.81,139,542,0
Malang,,1912,74.38,139,566,2
Immortal,,1933,73.63,139,575,3
Farmacia,Challenger,1834,73.38,139,575,0
Targod,,1836,72.88,138,372,3
Dikri,,1747,73.63,138,438,0
Oppa,Centurion,1862,73.81,138,503,6
Kordokgo,,2024,73.81,138,529,1
Tisan,Challenger,1732,72.94,138,530,3
Korzzang,,1825,74.06,138,553,5
Rukira,,1868,73.44,138,555,5
Ovrirkiz,,1888,73.69,138,562,7
Xena,,1452,74,138,569,5
Eula,Challenger,2005,73.19,138,576,3
Zelda,,1731,73.63,138,583,0
Korea,,1864,73.06,138,583,11
Boss,,1733,74.13,138,588,3
Gmolderanb,,2008,73.75,138,598,2
Dirtug,,2051,73.13,137,411,5
Asat,Challenger,2015,74,137,459,5
Furry,Challenger,1912,73.31,137,476,2
Samsung,,1824,73.81,137,482,2
Minok,,1925,74.56,137,482,3
Koreason,,1807,73.13,137,508,0
Lavie,Challenger,1366,73.44,137,517,3
Orzithit,,1827,72.5,137,523,2
Ceci,,1890,74.44,137,531,1
Tsoufaklas,,1434,72.81,137,557,6
Burelom,,1565,73.56,137,593,9
Adelbye,,1848,73.63,136,359,1
Nkpark,,1836,73.44,136,406,2
Korpou,,1983,74.44,136,411,0
Bulal,,1945,72.56,136,465,3
Isadrim,Challenger,1991,73.19,136,468,7
Chinazbh,,1990,74.13,136,469,2
