Koreaabin,,1753,1389422,0
Vinakami,,1664,1379400,0
Chinamam,,1508,1369417,0
Korealati,,1602,1339468,0
Chinagandi,,1451,1339445,0
Koreamrkim,,1231,1329426,0
Arin,,1217,1329411,2
Chinafly,,1475,1319500,2
Chinayong,,1426,1299494,0
Koreacolor,,1175,1289549,1
Arion,,1473,1289532,4
Korealove,,1567,1289523,0
Outcast,,1314,1289496,1
Gulimok,,1667,1289494,0
Meraxes,,1280,1289480,2
Koreavivid,,1612,1289476,2
Mirades,,1541,1289473,3
Hyperize,,1326,1289465,4
Hite,,1304,1279494,0
Koreachina,,1078,1279488,1
Acridix,,1140,1279463,0
Dizzy,,1136,1279434,1
Thing,,1120,1269467,1
Nmusashi,,1067,1269419,2
Vietnamese,,1258,1259520,3
Ruvolga,,1239,1249406,0
Abenam,,1089,1239566,0
Craggold,,1321,1239556,1
Kbott,,1435,1239530,1
Shilien,,1030,1239514,0
Russ,,1205,1239482,2
Deks,,892,1239430,0
Apollo,,1253,1239412,4
Rubaka,,1137,1229480,4
Koreatrima,,1004,1219570,1
Echoes,,1361,1219528,2
Mahara,,960,1219493,0
Aragorn,,1308,1209609,2
Jose,,973,1209605,0
Xryaker,,1244,1209550,3
Spyclown,,652,1199493,0
Koreajiwoo,,877,1199427,0
Juggernaut,,831,1199413,0
Amal,,1140,1189574,1
Bumot,,1158,1189573,0
Baoyi,,1400,1189558,1
Annyeong,,1034,1189523,3
Pepehands,,911,1189518,3
Zoje,,898,1189509,1
Imlach,,990,1189504,2
Burzafre,,1042,1189492,3
David,,954,1189486,0
Jarug,,773,1189478,1
Weaponsux,,1460,1189458,1
Dargun,,695,1189453,0
Koreajoy,,779,1189448,5
Igruz,,917,1189448,1
Omen,,748,1189448,2
Wack,,1076,1189438,1
Radz,,1208,1189403,3
Chinaliu,,1255,1189402,4
Discord,,1319,1179642,1
Makra,,1069,1179500,1
Runtari,,1193,1179475,4
Pykekc,,1169,1179455,4
Savagevil,,1001,1179454,3
Egiri,,1001,1179447,3
Tircose,,795,1179418,2
Lemi,,870,1169546,1
Allera,,859,1169521,0
Turk,,587,1169415,3
Pidan,,1086,1169401,1
Shifter,,910,1159627,3
Bork,,962,1159585,3
Koreaebel,,925,1159536,0
Lothar,,647,1159431,0
Chinajojo,,888,1159413,2
Ejon,,790,1149569,1
Morbix,,630,1149527,2
Koreasnow,,940,1149515,0
Kilini,,845,1149417,0
Secondrun,,948,1149401,2
Nathe,,1088,1139617,1
Lupus,,457,1139600,1
Argent,,985,1139590,0
Maximus,,679,1139576,4
Koreakata,,974,1139576,3
Hungkk,,1026,1139574,1
Ibas,,1277,1139572,3
Koreablue,,1226,1139563,3
Rathigi,,616,1139560,2
Hitagisan,,916,1139560,1
Chinahq,,989,1139554,2
Ocon,,810,1139551,3
Manasi,,791,1139548,1
Odosod,,556,1139543,3
Jore,,931,1139528,0
Voce,,717,1139528,2
Ruspb,,857,1139519,1
Dish,,502,1139507,3
Afritad,,671,1139507,2
Samantha,,1153,1139501,0
Foodie,,607,1139499,2
Koreaddori,,880,1139496,6
Kyler,,616,1139482,4
Korearyu,,578,1139478,0
Clubsoda,,1114,1139446,4
Ocanul,,787,1139428,4
Pepsi,,782,1139426,3
Irkirce,,767,1139422,2
Rrrrrrrr,,990,1139418,4
Baze,,949,1139416,5
Tigersage,,657,1139406,1
Lunk,,701,1139406,5
Conan,,1119,1129659,4
Ralang,,937,1129625,3
Quan,,918,1129622,0
Ogerkig,,691,1129556,0
Athoce,,896,1129501,3
Cassandra,,1025,1129475,2
Morcular,,574,1129471,1
Rumakc,,932,1119505,1
Lulu,,520,1119463,1
Moon,,594,1119403,5
Godi,,681,1109677,2
Rukavgovne,,1065,1109633,2
Koreakaka,,557,1109606,2
Jason,,481,1109562,0
Osis,,482,1109556,3
Bozuk,,688,1109551,0
Chinasars,,805,1109522,2
Zaza,,529,1109520,0
Liloee,,595,1099487,0
Warrior,,1031,1099434,0
Othethus,,570,1099434,1
Kortery,,912,1099417,3
Uaspeedy,,758,1089591,3
Majingis,,708,1089591,0
China,,1075,1089584,2
Arwen,,583,1089584,2
Majin,,563,1089567,4
Nilss,,716,1089558,5
Arzuzus,,757,1089538,1
Felmob,,827,1089536,2
Simakova,,842,1089520,0
Golluk,,542,1089496,2
Odol,,1027,1089489,6
Mebot,,857,1089448,1
Rozny,,880,1089447,2
Wolf,,899,1089429,3
Helios,,685,1079602,0
Jeskai,,989,1079567,4
Veji,,506,1079564,2
Hebe,,803,1079527,1
Invictus,,797,1079510,0
Cegi,,994,1079486,2
Samiam,,574,1079484,3
Kebbe,,481,1079484,2
Chaos,,689,1079482,1
Jasim,,434,1079445,1
Girda,,442,1079424,5
Omygay,,856,1069547,0
Rulet,,785,1069543,0
Emus,,903,1069447,3
Mina,,1130,1059747,0
Arkijim,,886,1059695,1
Opal,,756,1059661,0
Jeffrey,,1216,1059656,8
Kugelblitz,,766,1059633,0
Shalalala,,619,1059630,0
Dorza,,764,1059598,1
Hime,,700,1059576,0
Wendigo,,908,1059551,0
Noer,,566,1059490,1
Luminis,,684,1059463,1
Koreajine,,505,1049511,0
Tristan,,547,1049429,5
Ares,,466,1049402,6
Ayyyy,,832,1039658,0
Boromir,,740,1039646,2
Durtica,,655,1039613,0
Korearubi,,957,1039590,0
Jama,,331,1039583,1
Kirisia,,580,1039573,1
Glissag,,672,1039568,0
Kingslayer,,377,1039567,1
Djeff,,603,1039566,4
