Radz,Champion,1414,1269413,2
Korea,,1495,1249411,2
Paximir,,1349,1229505,2
Kordasomi,Centurion,1500,1209426,6
Korggolcho,,1252,1199424,5
Kirel,,1251,1189476,2
Arcania,,1257,1179517,2
Nancy,,1331,1179470,5
Korshoong,,1212,1179432,3
Saber,,1162,1159629,0
Chinaqun,,1108,1159485,2
Elyjnsyyhj,,1117,1159461,7
Sauzer,,778,1159407,4
Biscuit,,1088,1149426,2
Erzaph,,1080,1149419,5
Kungpaogao,,1011,1129466,4
Rudyx,,828,1109578,1
Teranisaur,Warlord,1241,1099529,3
Kebrisa,Warlord,1172,1079470,6
Chinajz,,1118,1059733,0
Leonora,Centurion,1231,1059623,0
Wispy,,1000,1059599,0
Kinnu,,1085,1059486,4
Aqua,,1012,1049490,0
Korallstar,,746,1049460,6
Opthimus,,989,1049450,2
Solidarite,,989,1049436,0
Nerika,,1041,1039554,2
Chinalee,,791,1039525,6
Croon,,945,1039501,2
Allagri,,889,1039448,4
Aver,,723,1039402,5
Levupman,,952,1029510,1
Rough,Centurion,830,1029447,4
Korlimdam,,784,1029439,4
Athera,,484,1019521,8
Ginger,,1022,1019459,2
Daayyyyum,,792,1019425,3
Erdric,,1076,1009582,5
Rijin,,724,1009553,7
Orion,,962,1009522,1
Goldi,Centurion,720,1009480,4
Levistus,,761,1009419,17
Abas,,823,1009412,12
Bose,Challenger,868,1009400,11
Hegel,,1061,999509,0
Mika,,643,999449,5
Kavrardi,Challenger,909,999444,6
Lilly,,699,989492,2
Garlic,,768,989489,5
Athena,,694,989465,2
Questions,,456,989444,0
Southkorea,,673,989406,6
Bubu,,776,979526,2
Adidra,Challenger,910,979499,3
Chinaz,,893,979490,2
Iansane,,612,979487,8
Cool,,831,979419,7
Aussie,,634,969501,1
Mikello,,747,969500,4
Yodalives,,470,969483,3
Baragoza,,833,969467,5
Achez,,787,969453,0
Huni,,701,969429,11
Lare,,849,969409,8
Herd,,809,969401,8
Cycy,,824,959724,0
Hinet,,849,959579,0
Sorceress,,703,959570,0
Coolbreeze,,757,959522,4
Vama,,818,959481,5
Megumin,Challenger,636,959448,4
Crybaby,,807,949539,1
Rusyulatov,,762,949490,0
Chinapgone,,821,939560,0
Feralwolf,,817,939558,1
Sashagrey,,817,939551,2
Itucha,,635,939518,0
Avrad,,389,939483,2
Goldmage,,638,939477,3
Othrorir,,875,939454,3
Wagstaffer,,665,939430,2
Jack,Challenger,754,939429,0
Rubass,,961,929728,0
Sauzer,,412,929633,3
Surgiza,,926,929586,2
Geez,,657,929576,5
Khaleesi,Challenger,716,929516,6
Pytheia,,509,929500,7
Theshy,,325,929457,0
Inga,,643,929452,1
Zhora,,289,929420,0
Sava,Centurion,644,929401,8
Woong,,616,919585,2
Eleanor,,612,919540,4
Edose,,524,919530,4
Nzmaniac,Centurion,593,919438,3
Murkika,,614,919416,7
Sonya,,782,919406,5
Pattern,,380,909657,8
Chinadibao,,649,909630,1
