Dluffy,,1915,1329462,1
Koryalacha,,1938,1329442,1
Korbiscuit,,1981,1329424,2
Kungpaogao,,1908,1329405,0
Rsxw,,1835,1319455,1
Chinadoll,,1940,1319428,0
Chinaovo,,1809,1319412,1
Rudyx,,1754,1309437,0
Anba,,1941,1309423,0
Korllovob,,1728,1279466,1
Korwoojae,,1754,1279438,1
Gaston,,1913,1259500,2
Chinagushu,,1729,1239504,1
Korsub,,1787,1239403,3
Korshoong,,1547,1229482,0
Korsia,,1724,1229418,5
Korssabi,,1495,1219547,6
Odud,,1430,1219522,0
Korsoso,,1315,1219408,2
Wispyyyyyy,,1790,1209451,0
Mogull,,1609,1209432,1
Skylore,,1559,1199473,7
Rasta,Challenger,1472,1189488,5
Korjune,,1664,1189445,3
Ruby,,1412,1189441,4
Chinaf,,1312,1179585,6
Athera,,1456,1179562,1
Sijorki,,1506,1179508,3
Touchmoipa,Centurion,1580,1179411,2
Kormansaok,,1612,1179410,3
Iradni,,1171,1179410,6
Tiki,,1411,1169440,0
Mahara,,1376,1169429,3
Kazar,,1158,1159504,7
Artas,,1425,1159454,3
Kyira,,1492,1149562,4
Rorcat,,1157,1149506,11
Korgosu,,1138,1149426,3
Erzaph,,1164,1139605,2
Korw,,998,1139503,4
Croon,,918,1139499,4
Montresor,,1161,1129606,4
Korvincent,,1310,1129512,6
Kormystguy,,1217,1129486,4
Rani,,1315,1129486,6
Kordiablo,Challenger,1109,1129473,6
Koreamerry,,672,1129447,3
Gabel,,1016,1119499,6
Yoko,,1202,1119460,5
Ruchka,,1066,1109579,2
Rugrom,,1344,1109534,2
Maya,,1055,1109515,5
Mike,,1079,1109478,7
Rory,,1148,1109444,12
Levistus,,1383,1109420,16
Ladydee,,934,1109418,7
Sideact,,1224,1089536,4
Morgoth,,1420,1089516,4
Judy,,819,1089492,1
Nitez,,1022,1089443,5
Ishamael,,1579,1089434,1
Herd,,1160,1089431,2
Divoza,,854,1089412,4
Mrmiyagi,,1347,1079667,2
Maguita,,1188,1079633,3
Adnidne,,1240,1079539,2
Lotion,,1278,1079529,0
Ekaka,,837,1079424,11
Duvi,,980,1069507,3
Athisek,,970,1069484,6
Korangel,,923,1069480,2
Bobyleboub,,1148,1069453,2
Yuuyuu,,925,1069440,4
Veteran,,1286,1069434,3
Jaadugarni,,1274,1069426,5
Ishuza,,904,1069419,12
Korando,,1163,1069408,7
Koks,,1234,1059641,0
Ymee,,1040,1059635,3
Hexa,,924,1059570,5
Terdeza,,918,1059560,3
Karamba,,1167,1059557,4
Mongu,,807,1059552,4
Didra,,1061,1059545,2
Koka,Challenger,1187,1059505,4
Aura,,961,1059496,2
Boss,,758,1059479,6
Hegel,,1038,1059464,0
Lufia,,1137,1059464,2
Mana,Challenger,799,1059461,0
Forza,,908,1059433,3
Agni,,1291,1049446,3
Hero,,1132,1049426,6
Ebikan,Centurion,924,1049414,9
Deeppurple,,935,1039548,8
Evret,,814,1039510,2
Maxilein,,654,1039422,5
Zubre,,1193,1039420,2
Isis,,909,1039408,6
Gachag,,559,1029550,3
Flapjacks,,734,1029487,3
Fartina,,827,1029474,5
Gandolf,,998,1029470,10
Cegred,,847,1029467,11
Kija,,739,1029451,2
Hala,,1092,1029448,2
Etid,,1022,1029441,1
Agecin,,921,1029415,5
Alora,,1089,1019626,6
Berut,,731,1019528,2
Khan,,826,1019518,7
Rishi,,984,1019512,2
Zizi,,562,1019512,5
Momi,,669,1019484,9
Madagar,,927,1019483,6
Gunyo,,667,1019477,8
Oaktea,,929,1019473,7
Azer,,533,1019467,5
Chaplin,,1043,1019461,2
Tequila,,469,1019449,7
Oteke,,835,1019441,6
Siska,,833,1019436,4
Kuku,,926,1019411,6
Jellista,,1227,1019407,3
Zovit,,667,1019404,12
Icedin,,1155,1009789,2
Athena,,1065,1009745,0
Starlight,,1070,1009683,1
Chinaheart,,1014,1009571,7
Limi,,1163,1009562,0
Berdy,,1040,1009560,8
Masool,,1010,1009558,5
Kkang,,627,1009544,3
Lucia,,958,1009544,1
Isan,,720,1009529,5
Lulu,,555,1009521,2
Athena,,765,1009501,2
Marylin,,963,1009496,1
Korgua,,988,1009491,5
Lola,,964,1009488,5
Sabot,,431,1009487,7
Byroad,,1005,1009486,6
Ebek,,355,1009480,12
Zazus,Challenger,418,1009478,0
Lujuje,,868,1009457,1
Anqnf,,709,1009455,6
Kortultul,,930,1009453,4
Ojuz,,858,1009449,12
Chinawuya,,906,1009404,9
Ovrada,,656,999472,5
Atom,,382,999413,4
Zhanzhan,,850,989469,3
Ares,,874,989449,1
Cyclon,,767,989430,3
Darcy,,1011,989425,3
Rova,,1025,989419,1
Tussuhai,,684,989416,4
Rastlin,,430,989404,1
Magasone,,574,979547,8
Danun,,492,979497,9
Halan,,1003,979452,1
Kabanos,,458,979422,6
Vodam,,822,979400,8
Rutagan,Challenger,1002,969550,1
Eliles,,411,969501,1
Hamboly,,385,969479,3
Doug,,406,969477,1
Majorda,,420,969442,0
Ohali,,517,969416,1
Kordongila,,751,969408,6
Gasi,,511,959676,0
Shewalk,,315,959607,9
Hita,,920,959597,6
Arig,,1076,959579,5
Rage,,455,959570,4
Marina,,555,959550,3
Abaris,,1026,959516,1
Gedra,,645,959484,6
Cobuk,,368,959482,1
Storm,,465,959461,1
Jaja,,366,959446,13
Godric,,447,959426,11
Zogoje,,771,959419,9
Moldrek,,442,959418,12
Imagen,,971,959412,6
Kormlab,,1143,949687,0
Destroyer,,480,949533,11
Azarti,,676,949500,3
Elsaki,,620,949465,1
Melachi,,421,949444,3
Bigbamboom,,329,949424,3
Bardo,,400,939511,0
Salty,,650,939510,1
Ventocel,,362,939495,1
Yegg,,823,939477,4
Gosheji,,822,939446,3
Leze,,463,939414,0
Hiraku,,816,939413,11
Star,,735,939413,2
Poopsicle,,490,929653,2
Disa,,418,929584,2
Thorson,,421,929541,4
Vithe,,833,929524,0
Shuri,,436,929508,0
Loca,,463,929479,1
Kokrhel,,781,929471,0
Alnitak,,493,929467,0
Hozatha,,913,929465,10
Dralban,,897,929438,7
Kuwait,,423,929436,2
Zarul,,315,929430,5
Avag,,650,929420,10
Radem,,697,929419,1
Reiko,,617,929419,8
Erica,,621,929414,5
Fieryballz,,463,929408,4
Anal,,1013,929407,5
Nita,,632,929403,8
Waldfee,,637,929401,12
Elminster,,932,919612,5
Ejek,,860,919595,1
Masharu,,438,919584,3
Macke,,723,919494,2
Khaola,,602,919489,3
Mastermage,,366,919485,0
Newboss,,534,919480,4
Drozik,,606,919478,5
Marzuvri,,344,919472,0
Bezzea,,526,919465,6
Chepatoo,,346,919463,6
Diana,,703,919448,1
Sacrificil,,443,919435,3
Hephaestus,,991,919430,7
Brazilonly,,335,919416,2
Oldsnake,,302,919408,12
Hfxrj,,788,919403,12
Jichok,,514,919403,2
Korzzz,,939,909652,5
Ketal,,494,909646,7
Lulu,,498,909612,2
Thor,,935,909560,0
Redred,,481,909548,0
Osorte,,778,909547,2
Khro,,292,909542,0
Ososun,,483,909528,9
Venudi,,407,909527,1
Siballe,,791,909519,9
Nirdothe,,285,909516,1
Guvner,,708,909508,1
Arcelum,,378,909495,9
Elyana,,434,909474,3
Ikaz,,321,909469,3
Ajilel,,327,909467,1
Acas,,462,909440,11
Build,,485,909432,6
Fany,,840,909418,10
Virtot,,648,909413,0
Vurteni,Challenger,547,909411,6
Halsifar,,363,909402,3
Ivermectin,,832,899622,2
Avirus,,604,899567,2
Nonamess,,738,899489,10
Icemachine,,383,899487,7
Yuriy,,273,899480,2
Tempo,,439,899462,6
Ochodi,,668,899452,3
Hishibra,,659,899442,8
Bulla,,511,899433,3
Balvenie,,604,899424,6
Xholod,,795,889622,2
Evillady,,724,889621,0
Hlight,,722,889616,5
Shinigami,,698,889591,3
Luci,,1011,889591,2
Boobie,,269,889562,7
Oben,,392,889532,2
Tuje,,329,889529,3
Alihi,,419,889512,2
Athuz,,323,889476,5
Koreaqc,,819,889471,7
Sokar,,282,889456,5
Ecaz,,384,889455,0
Ayalla,,345,889434,5
Zerocool,,623,889428,5
Soyuz,,652,889423,6
Rylina,,589,889416,3
Linebra,,263,889413,3
Anekud,,357,889401,1
Acab,,608,889400,1
Izedra,,660,879668,0
Nutume,,798,879637,0
Sesa,,322,879564,13
Jewels,,745,879543,3
Minerva,,520,879521,3
Bire,,707,879520,4
Athota,,349,879468,3
Dadiaomei,,629,879466,6
Zzzzzz,,454,879456,4
Mago,,272,879443,9
Debri,,362,879432,7
Noob,,526,879421,1
Flavioluiz,,431,879418,4
Dennol,,275,879417,9
Boss,,302,869557,3
Jejan,,228,869525,8
Omene,Challenger,633,869524,0
Combo,,517,869512,8
Ilonna,,351,869483,4
Ronus,,372,869450,7
Bunibra,,248,869443,4
Trytonxd,,401,869430,3
Lili,,280,869424,3
Lurguvi,,436,869419,4
Oshat,,284,869405,0
Chinastar,,933,859784,0
Nathe,,850,859665,0
Rizzy,,741,859628,1
Vesper,,250,859603,0
Turari,,308,859593,3
Angel,,631,859593,1
Alanda,,471,859576,1
Raynman,,572,859562,8
Cuta,,543,859556,2
Koreadarja,,421,859544,3
Jennifeer,,450,859500,4
Isel,,447,859482,10
Angel,,272,859476,4
Morgyn,,325,859462,2
Merlin,,396,859454,10
Avek,,357,859452,15
Aeris,,852,859451,10
Deja,,776,859445,1
Keri,,293,859436,3
Togus,,236,859424,8
Sikaha,,249,859409,2
Carki,,302,859407,10
Pengl,,767,859402,7
Jedjohnson,,296,849669,6
Lunnurgi,,820,849587,0
Jugsleroux,,887,849584,1
Asakawa,,606,849580,1
Dabrehe,,318,849507,2
Tusha,,470,849503,5
Even,,623,849496,5
Avreri,,301,849483,1
Newb,,678,849470,6
Isaac,,287,849437,3
Hicks,,265,849434,3
Zarcamla,,687,849422,2
Sevot,,435,849412,8
Hisame,,283,849405,4
Ercal,,271,849400,13
Misskim,,435,839720,7
Tibathi,,386,839658,3
Githin,,563,839630,1
Remo,,394,839585,7
Novake,,795,839565,1
Ochorda,,330,839544,1
Iset,,757,839543,12
Kuleczka,,379,839522,5
Asunka,,324,839517,8
Omurgal,,376,839513,2
Rotary,,348,839505,1
Otoza,,275,839461,8
Palitaidia,,458,839460,3
