Rebirth,,2106,1609512,0
Koreaabin,,2150,1609452,0
Korleishen,,2108,1609449,0
Chinahwang,,2100,1589454,1
Guitarwolf,,2101,1589446,0
Kornene,,2153,1589433,0
Korala,,2141,1589413,2
Chinacctv,,2048,1589407,3
Kirito,,2060,1589405,2
Chinadige,,2093,1579487,0
Korclc,,2085,1579463,2
Korthemax,,2103,1579445,1
Chinawang,,2044,1579445,3
Chinadoll,"War Hero",2075,1569546,0
Korsj,,2104,1569427,3
Korls,,2032,1569415,1
Isaacthree,,1995,1559530,0
Chinav,,2064,1559469,0
Korsia,,2065,1559466,0
Chinalj,,2007,1559429,0
Byroad,,2001,1539474,1
Koryeah,,2051,1539472,0
Korwon,,2087,1539445,0
Nacoin,,2014,1539435,3
Shade,,2042,1539403,0
Korc,,2081,1539402,0
Warhero,"War Hero",2030,1539402,2
Sabuk,Challenger,1963,1529485,1
Dddddd,,2078,1529482,1
Zjzhw,,2090,1529419,4
Sniper,,2128,1529415,0
Mrao,,2101,1529413,7
Ashahi,,2002,1519590,2
Crazychina,,2001,1519559,2
Whogivsafu,,2047,1519523,3
Chinadv,,2087,1519523,2
Esircik,Challenger,2095,1519518,2
Chinawuya,,1997,1519480,2
Korbog,,1980,1519473,1
Korbin,,2105,1519453,1
Korsohee,,2040,1519444,3
Suza,,2020,1519444,1
Juejue,,2055,1519416,8
Korbuddha,,2054,1519408,1
Hegemony,,2000,1519406,0
Korbural,,2070,1509599,0
Burek,,2000,1509573,0
Chinatang,,2051,1509500,1
Eowynn,,2002,1509455,0
Three,Challenger,2049,1509450,0
Liamox,,2002,1509444,0
Chinayf,,2003,1509440,0
Flounder,,2043,1509401,0
Korgiz,,1958,1499476,0
Kormm,,2041,1499413,1
Chinak,,1984,1489558,1
Forglory,,2059,1489535,1
Korsickal,,2100,1489523,0
Korfire,,2008,1489520,1
Koronni,,2068,1489518,1
Onogri,,2050,1489511,3
Michael,,2030,1489500,4
Xerxes,,2039,1489496,4
Radok,,1979,1489484,2
Korakan,,2048,1489481,1
Kormessi,,2002,1489475,1
Cuma,,1859,1489474,1
Kortata,,1992,1489473,2
Cnjoy,Centurion,1981,1489466,1
Anorul,,1961,1489435,1
Kraesanb,,1969,1489434,1
Testtube,,1911,1489422,4
Zukra,,2000,1489418,0
Chinajerry,,1888,1489411,1
Chinaz,,2052,1489406,1
Bronzducky,,1848,1479558,1
Huve,Challenger,2036,1479531,0
Yeolmoo,,2004,1479516,1
Hunani,,1992,1479465,7
Korzing,,1959,1479453,3
Korhell,,2102,1479448,0
Sachoggik,,2007,1479424,1
Chinat,,1845,1469538,2
Egugot,,1535,1469508,1
Korlucia,,2026,1469486,3
Christophe,,1937,1469484,2
Jojo,,1595,1469468,4
Lullime,,2078,1469453,4
Darthspock,,1947,1469449,1
Grymsch,,2012,1469439,5
Mobilitch,,2021,1469436,1
Korgun,,1968,1469431,4
Dale,,2019,1459624,0
Jingjing,,1979,1459609,0
Oginnet,,1880,1459595,0
Nipsanhips,,2006,1459524,0
Singo,,1831,1459521,0
Chinafang,,1924,1459519,0
Sara,,1953,1459491,1
Korhun,,1989,1459457,2
Lisa,,1884,1459443,0
Casper,Centurion,2003,1459433,0
Rudyx,,2089,1459426,0
Kokre,,1923,1459412,2
Galamesh,,1995,1459408,3
Mihawk,,1999,1449468,0
Koridem,,1829,1449456,0
Korparapra,,1945,1449424,1
Korddoti,,1732,1449407,4
Akerti,,1997,1439591,1
Homasi,,1926,1439588,1
Bkkiller,,1901,1439546,0
Stayhome,Centurion,1937,1439528,4
Geralt,,1836,1439528,2
Korsarman,,1977,1439528,0
Dascth,,1966,1439525,3
Maha,,2010,1439506,3
Korseeker,,1841,1439494,2
Ollagolla,,1512,1439480,0
Korlotto,,1931,1439468,2
Bronze,,1933,1439445,1
Corahyun,,1859,1439435,1
Rache,,1961,1439428,3
Ajone,,2006,1439424,4
Korcutmw,,1931,1439418,2
Crona,,1806,1429566,0
Newj,,1748,1429527,10
Vathun,,1754,1429516,4
Burochi,Challenger,1979,1429505,5
Kormango,,1975,1429482,1
Korduna,,2000,1429430,0
Deleteme,,1605,1429409,1
Koralba,,1770,1429405,1
Banana,,1876,1419587,0
Vick,,1949,1419565,7
Chenmo,Challenger,1932,1419534,3
Vorgonna,,1970,1419525,1
Yaboo,,1588,1419514,5
Dangus,,1814,1419510,1
Balin,Challenger,1701,1419490,2
Etun,,1421,1419478,2
Korwoods,,1983,1419470,0
Thanathos,,1985,1419470,11
Vich,,1922,1419441,4
Pinkd,,1923,1419402,3
Korgold,,1871,1409712,2
Alirka,,1966,1409701,1
Chinalll,,1853,1409658,3
Kaje,,1796,1409634,5
Derb,,1958,1409633,2
Chinastupa,,1995,1409625,0
Korgiz,,2067,1409611,0
Rubenstein,,2107,1409523,4
Champion,,1928,1409491,1
Doink,,1575,1409489,2
Ojuz,Challenger,1958,1409483,0
Bouba,,1959,1409401,1
Jumpyquake,,1709,1399576,5
Sehus,,1920,1399548,7
Lusiss,,1983,1399519,0
Crew,,1389,1399505,0
Kavrardi,,1709,1399430,4
Oppaya,,1781,1399418,9
Covid,,2070,1399412,6
Chinafox,,1982,1389687,1
Kordoree,,2003,1389650,1
Chronos,,1786,1389622,0
Autoname,,1241,1389621,0
Maci,,1125,1389542,3
Koroke,,1894,1389498,5
Sorta,,1823,1389482,3
Dolteng,,1856,1389470,8
Aiden,,2009,1389440,2
Ruhegel,,2101,1389439,0
Cirin,,1886,1389430,3
Toktik,,1929,1389422,2
Korline,,1536,1389415,5
Dunhill,,1883,1389407,3
Odin,Challenger,1105,1379578,3
Fantaghiro,,1836,1379577,6
Dugra,,1975,1379561,2
Drakoo,,1416,1379559,2
Elysia,,1949,1379530,3
Lavaki,Challenger,2025,1379517,5
Ruyebok,Challenger,2058,1379487,4
Donquixote,,1853,1379458,4
Nemi,,1800,1379438,3
Gisi,,1654,1379435,7
Unknownkor,,1442,1379432,4
Avrehi,,1592,1379417,2
Vullas,,1987,1379410,6
Chinamx,Challenger,1992,1369637,2
Jinjinwar,,1749,1369614,2
Leben,,1235,1369598,1
Zeejazz,,1813,1369595,2
Arzul,,1569,1369574,1
Korea,,1632,1369565,3
Ruvata,,1994,1369562,0
Rubaka,,1875,1369523,4
Onslaught,,1633,1369503,1
Hawe,,1922,1369501,1
Metinpl,,1674,1369493,2
Korjuny,,1974,1369482,2
Hugorune,,1816,1369464,2
Nikive,,1561,1369443,0
Korspace,,1885,1369429,9
Zemet,,1955,1369417,3
Dwayne,,1100,1369408,2
Drozik,,1430,1369408,6
Korjun,,1994,1369402,0
Chinablahs,Challenger,1850,1359826,0
Rabarka,,1226,1359743,1
Sidifen,,2042,1359722,0
Zazer,,1866,1359707,1
Chinacat,,1893,1359695,2
Congxinkai,,1386,1359692,7
Korboss,,1806,1359690,0
Ivrarun,,1706,1359674,0
Nicolo,,1345,1359665,0
Idos,,1942,1359660,0
Akeg,,1851,1359614,1
Ninata,,1994,1359567,6
Horug,,1736,1359544,0
Sword,,1910,1359539,0
Kowal,,860,1359508,1
Noobsbane,,1971,1359505,0
Ogros,,1940,1359496,8
Lancelot,,1289,1359489,7
Kkkkm,,1899,1359465,3
Rumakc,,1900,1349577,1
Adventurer,,1003,1349506,0
Benjamin,,2001,1349456,3
Mandala,,1662,1349425,1
Gukedra,,1673,1349402,2
Tempusjr,,1586,1339626,1
Limiter,,1302,1339617,1
Korguho,,1341,1339616,1
Ikill,,1603,1339600,0
Korrok,,1915,1339599,4
Korpi,,1955,1339586,0
Stanhope,,2011,1339578,1
Ozel,,1821,1339576,4
Korbill,,1952,1339565,1
Korbruce,,1865,1339542,2
Halmae,,1460,1339537,2
Korpaladin,,1717,1339514,1
Voodooxxx,,1470,1339509,2
Soha,,1926,1339500,1
Kahu,,1189,1339498,2
Irute,,1924,1339493,3
Vece,,1366,1339492,4
Jehrz,,1901,1339488,4
Krepana,,1829,1339480,1
Triallior,,944,1339477,2
Bazahe,,1504,1339469,4
Knight,,1523,1339466,3
Ennidna,,2037,1339457,5
Labose,,1571,1339437,4
Khanping,,1704,1339432,7
Lelele,,1756,1339429,3
Koryoon,,1992,1339420,3
Lothuna,,1911,1339410,0
Daniel,,1780,1329675,2
Ldyjsz,,1523,1329647,3
Ahat,,1412,1329636,2
Finish,,1155,1329573,2
Thor,,1953,1329537,3
Korsan,,1634,1329521,8
Barcid,,1478,1329520,5
Esam,,1542,1329494,2
Neli,,2066,1329494,4
Nagibator,,1923,1329491,7
Ecaten,,1329,1329481,5
Slaninacz,,1490,1329445,2
Gorca,,1541,1329436,1
Cyclone,,1280,1329410,8
Fiora,,1748,1319724,2
Furia,,1961,1319709,1
Chinaglenn,Centurion,2033,1319627,1
Benig,,1644,1319594,3
Abikifiv,,2049,1319573,4
Goldarrow,,1110,1319557,3
Korkor,,1853,1319548,6
Otihe,,1595,1319526,8
Maximus,,1476,1319525,5
Darksell,,1487,1319514,1
Boobless,,1913,1319513,4
Soha,,1155,1319477,3
Korpsycho,,1330,1319472,2
Gamja,,1550,1319430,1
Sargen,,1565,1319425,3
Chumpy,,1952,1309803,0
Phoshero,,1887,1309783,0
Bigig,,735,1309780,1
Bobcat,,1385,1309779,0
Korbabaka,,1886,1309769,0
Sardurka,,1154,1309760,1
Tushe,,1404,1309759,1
Ibrak,,1237,1309756,0
Ehui,,1890,1309743,0
Korone,,1605,1309742,2
Barez,,1388,1309726,0
Robin,,1694,1309719,0
Judrebre,,1906,1309710,0
Chinahe,,1880,1309701,1
Rizatha,,1709,1309699,8
Rucomrade,,1979,1309699,1
Cota,,753,1309691,0
Koreddy,,1862,1309689,0
Marishik,,847,1309687,0
Chinasuper,,1936,1309687,3
Ilula,,1667,1309675,2
Imanne,,1370,1309667,3
Phaus,,945,1309661,1
Chinacd,,1379,1309658,2
Rorkag,,1375,1309652,2
Emem,,1091,1309647,0
Icat,,703,1309641,0
Egaz,,1923,1309633,1
Korexp,,1499,1309631,8
Bach,,1574,1309627,0
Gimmeglory,,1290,1309625,1
Hozul,,1749,1309623,0
Bigel,,1739,1309617,1
Iren,,1727,1309609,2
Xorms,,1727,1309606,1
Leli,,1059,1309599,1
Orion,,1579,1309597,4
Chinahz,,1918,1309596,4
Ishubin,,762,1309594,1
Luffy,,1670,1309594,4
Scaryhips,,1758,1309587,0
Pinkruby,,1544,1309574,0
Truhlik,,1444,1309567,1
Kornada,,1384,1309563,0
Ohoo,,1657,1309563,1
Cedrik,,1371,1309558,5
Amam,,1994,1309552,0
Drmekko,,1973,1309543,0
Wulfgar,,1737,1309536,2
Totul,,1808,1309531,3
Tuan,,1641,1309511,4
Irzin,,1304,1309507,0
Asit,,1694,1309502,4
Nerut,,1455,1309501,7
Korkasuu,,1025,1309492,1
Haza,,1737,1309488,7
Gudes,,1457,1309475,3
Suta,,1111,1309466,0
Zero,,1861,1309461,2
Karmagedon,,1243,1309443,0
Zibriva,,742,1309442,3
Argon,,1431,1309427,1
Felrock,,616,1309424,7
Omun,,1788,1309423,0
Rubaka,,2049,1309413,6
Zallot,,1316,1309409,2
Chinaht,,1176,1309406,6
Heshi,,1299,1309402,0
Marusia,,1872,1299535,0
Echobronze,,1004,1299520,1
Mario,,1965,1299513,2
Oneg,,1890,1299442,0
Seca,Challenger,825,1299410,4
Rudotha,,1477,1289579,2
Korsword,,1959,1289569,2
Eduje,,1923,1289543,4
Shabi,,1608,1289537,2
Drabek,,1439,1289520,3
Myeca,,1196,1289507,6
Alice,,1462,1289502,3
Cherry,,1509,1289501,2
Mete,,922,1289494,3
Kuroi,,961,1289486,0
Salurki,,1091,1289464,1
Arawn,,1423,1289462,1
Judas,,1522,1289428,1
Hakam,,725,1279629,3
Zurkeci,,1159,1279627,0
Annesaz,,1914,1279540,3
Chang,,1336,1279534,3
Jukune,,1910,1279477,1
Doagan,,1449,1279471,3
Rufrog,,1443,1279456,0
Vechi,,1862,1279426,6
Ebrige,,1932,1269652,1
Artega,,1336,1269619,1
Ijule,,1425,1269610,2
Omunum,,1710,1269587,4
Kordua,,1189,1269544,2
Kyler,,1613,1269486,2
Imperius,,1697,1269464,4
Wayne,,1201,1269456,4
Alkonavt,,741,1269456,0
Bishek,,785,1269446,1
Goku,,1328,1269442,5
Garminator,,1103,1269406,5
Ruca,,1831,1259788,1
Tomyshelby,,1134,1259783,0
Niubi,,1850,1259764,1
Korzzubi,,1561,1259749,0
Jerid,,1865,1259723,2
Verusya,,1768,1259721,2
Semoje,,1137,1259713,0
Korno,,1542,1259699,1
Slayers,,1601,1259698,2
Dogezi,,1590,1259682,0
Obat,,1938,1259676,0
Illeshe,,1678,1259669,0
Time,,1198,1259654,0
Athelag,,1274,1259651,1
Mirti,,1282,1259636,1
Sullivan,,1774,1259625,0
Korena,,1461,1259619,1
Master,,888,1259602,0
Asuse,,1868,1259600,0
Koririse,,1984,1259595,4
Rori,,1267,1259589,2
Fraxinus,,1822,1259582,0
Chinakaizi,,1133,1259580,1
Ahat,,1513,1259570,0
Bukol,,1200,1259565,0
Dosebe,,1691,1259540,1
Athena,,1149,1259528,2
Oiram,,1902,1259516,1
Amolik,,1718,1259507,0
Blood,,555,1259507,1
Kiwi,,1388,1259504,3
Baraka,,1493,1259485,0
Noah,,1163,1259470,1
Dimi,,1197,1259444,0
Chinavirus,,1118,1259434,0
Hekrole,,1134,1259403,1
Regenerate,,600,1249618,0
Warramiyor,,1447,1249599,2
Elira,,609,1249465,0
Entrecote,,1477,1249457,0
Arschgeier,Challenger,1145,1249452,0
Xiaolaohu,,1406,1249427,0
Cajeta,,1092,1249404,0
Savage,,629,1239673,0
Ahilon,,1065,1239632,5
Kekral,,1112,1239585,1
Diablos,,1600,1239560,2
Wildbill,,875,1239547,1
Whyme,,1463,1239539,2
Yelz,,1848,1239534,3
Edanrak,,761,1239532,1
Aruzak,,1321,1239521,5
Ekruk,,1506,1239512,2
Lucia,,1598,1239502,0
Kesha,,1438,1239476,3
Ruzunami,,1783,1239468,6
Bangbros,,1485,1239459,7
Avrushol,,1035,1239458,5
Michyb,,1692,1239453,2
Rezan,,1464,1239445,1
Ofrjiba,,1240,1239437,5
Jiren,,1963,1239436,3
Zerdol,,1426,1239424,1
Adnurtel,,964,1239421,5
Jazi,,1424,1239412,4
Godinnn,,1375,1229634,1
Kunnot,,1308,1229607,4
Endeavor,,955,1229603,2
Akrorod,,1126,1229578,0
Gofast,,648,1229578,2
Jozi,,1255,1229551,2
Londo,,1522,1229537,2
Acunog,,1010,1229517,5
Laros,,888,1229514,7
Sonrehi,,1161,1229510,2
Ruandrei,,790,1229509,10
Drdreymr,,1491,1229493,6
Mise,,1573,1229417,4
Ebrez,,651,1229408,0
Herman,,1491,1219638,4
Korenod,,963,1219623,2
Huhukri,,1193,1219577,4
Aren,,1354,1219560,1
Gorde,,788,1219542,2
Legancko,,1293,1219534,1
Etehin,,846,1219514,1
Kucat,,871,1219511,4
Chinazzz,,1349,1219511,4
Korimhong,,1591,1219507,14
Weew,,1066,1219507,0
Xnedra,,1313,1219498,5
Enivris,,1008,1219480,4
Oruki,,1226,1219478,4
Marklar,,908,1219475,2
Lightsong,,1018,1219455,6
Korgogo,,867,1219451,2
Nechi,,827,1219448,1
Popo,,856,1209816,0
Kordukj,,1521,1209792,0
Hinamaru,,1031,1209784,0
Tivut,,1003,1209771,0
Ahugi,,1799,1209766,0
Ajog,,1220,1209766,0
Zatha,,1588,1209766,0
Heta,,824,1209743,0
Wall,,1653,1209734,0
Korboss,,1069,1209728,1
Rupar,,1704,1209724,0
Adod,,624,1209721,0
Chinahys,,1584,1209707,0
Torde,,1798,1209700,1
Imok,,1290,1209696,0
Ownage,,908,1209696,0
Ronin,,1512,1209689,1
Ruolegmsc,,1682,1209683,0
Cortise,,1684,1209679,0
Chinaf,,1902,1209669,0
Orcarta,,1230,1209668,3
Valkyrie,,984,1209663,0
Boudica,,1308,1209663,0
Chinaizls,,1208,1209659,2
Aduken,,1423,1209646,3
Idninun,,632,1209638,1
Docenri,,1494,1209637,0
Aaaaaaa,,1435,1209636,0
Suva,,1067,1209617,1
Apollo,,1765,1209609,0
Bodra,,1565,1209606,3
Sobaka,,1414,1209604,1
Jekon,,1379,1209594,0
Lebron,,924,1209592,0
Zehuz,,1127,1209581,0
Bella,,1660,1209581,0
Irtekri,,1308,1209579,5
Belee,,1844,1209579,2
Hope,,1298,1209578,7
Anifre,,724,1209577,0
Hivi,,1241,1209562,0
Mali,,1262,1209547,0
Kamilapus,,1291,1209538,2
Turgeon,Challenger,1484,1209533,2
Tuca,,625,1209529,3
Kierabella,,791,1209526,4
Miri,,1286,1209524,9
Jackolero,,535,1209508,0
Isomug,Challenger,515,1209505,1
Ortin,,1168,1209477,0
Sheila,,699,1209464,0
Zerei,,1804,1209457,0
Voga,,1140,1209445,2
Bumbarash,,1594,1209439,12
Deks,,905,1209438,3
Odnut,,788,1209438,2
Pornhub,,1167,1209433,1
Danb,,1125,1209430,0
Vietnamese,,1412,1209428,7
Ruiriwa,,1357,1209417,5
Vashe,,586,1209413,2
Korjoyfull,,1757,1199642,5
Vokri,,1172,1199508,6
Ibante,,1267,1199444,7
Labuba,,788,1189616,0
Azonri,,823,1189590,0
Degoce,,817,1189577,2
Gukrul,,1104,1189574,3
Melkor,,1443,1189563,1
Matilda,,1267,1189551,5
Curziz,Challenger,1471,1189503,1
Merguk,,714,1189497,1
Toke,,615,1189488,3
Zertan,,823,1189486,1
Stpnjs,,1264,1189476,2
Imifri,,817,1189459,3
Mozod,,730,1189456,4
Mavra,,1363,1189455,5
Dark,,554,1189452,3
Kellat,,1403,1189443,3
Snifff,,885,1189426,0
Huiaj,,517,1189416,2
Seneni,,654,1189409,4
Moriana,,529,1189403,1
Kimek,,732,1179786,0
Feylin,,826,1179607,1
Kame,,1808,1179552,8
Kormi,,1384,1179518,2
Kuwait,,1002,1179484,3
Rapviet,,691,1179461,4
Matrempit,,1401,1179449,0
Zabe,,708,1179426,7
Even,,1249,1179422,1
Ragi,,845,1179414,0
Bobita,,620,1179412,8
Ahanda,,1344,1179409,2
Diesel,,986,1179406,7
Onnik,,725,1179405,1
Mranh,,1260,1169566,2
Hehise,,1278,1169545,5
Mari,,880,1169514,2
Koreaaaaaa,,900,1169514,1
Glorfindel,,1054,1169510,2
Icuthi,,1237,1169509,7
Obugrom,,1338,1169486,2
Hivimi,,564,1169456,3
Lappen,,902,1169429,1
Korose,,1388,1169425,8
Korcrown,,1427,1159908,0
Gogo,,835,1159779,0
Ajig,,1380,1159765,0
Korggung,,1650,1159740,0
Sameve,,1657,1159740,2
Videz,,618,1159736,0
Ezek,,1324,1159729,2
Ocak,,1279,1159728,2
Victory,,655,1159723,0
Nita,,1322,1159719,2
Dava,,1473,1159710,0
Uria,,1182,1159708,2
Lero,,840,1159699,2
Obones,,951,1159698,4
Zedre,,1086,1159697,3
Okirzam,,1282,1159694,3
Anjing,,1205,1159692,1
Ishiraz,,898,1159686,2
Nellez,,1812,1159685,3
Irdochi,,1279,1159670,1
Abort,,605,1159652,1
Korenable,,1741,1159652,2
Nike,,918,1159648,2
Ephemera,,1320,1159637,2
Paddy,,1251,1159635,1
Misia,,1281,1159634,0
Iceman,,746,1159631,0
Event,,402,1159631,2
Mousse,,1365,1159624,0
Rahl,,1049,1159624,0
Korghost,,1179,1159621,3
Icarus,,950,1159608,2
Niewei,,712,1159590,0
Korrin,,1233,1159574,1
Elom,,965,1159572,0
Onreg,,1327,1159572,1
Mara,,1192,1159567,1
Korjdjd,,1215,1159559,2
Mega,,1028,1159558,1
Fanny,,1860,1159558,0
Inuhin,,1432,1159557,0
Chinak,,1607,1159553,0
Kenhe,,1104,1159532,4
Juggernaut,,972,1159494,6
Eustachy,,1284,1159482,2
Korzero,,1256,1159481,4
Ajakat,,1347,1159423,3
Azog,,660,1159414,1
Nafra,,800,1149700,0
Rankatoco,,674,1149650,3
Andre,,1196,1149632,6
Ryan,,1241,1149515,2
Orcin,,1016,1139740,2
Tino,,936,1139612,1
Hundone,,1266,1139611,1
Shieldfree,,1276,1139596,0
Vlade,,1048,1139591,1
Cese,,818,1139587,7
Iirnhgyis,,929,1139581,5
Expbo,,1636,1139567,3
Yeeted,,822,1139548,4
Kurarze,,1023,1139546,5
Spin,,1532,1139539,0
Canna,,818,1139533,3
Klakhang,,761,1139530,1
Juthoja,,704,1139525,3
Hirduz,,583,1139483,8
Ellis,,1084,1139471,3
Iduhiz,,519,1139465,1
Nazgul,,941,1139462,0
Gonnege,,660,1139459,1
Maximus,,1077,1139457,5
Asar,,993,1139453,3
Slepoi,,1333,1139443,7
Sharsor,,815,1139431,0
Eles,,662,1139431,2
Ejeg,,509,1139430,1
Iria,,1324,1139427,4
Bakka,,536,1139424,3
Ygritte,,1259,1139420,6
Tuzil,,1129,1139420,0
Defender,,1147,1139401,2
Robe,,711,1129590,2
Artakus,,1109,1129572,0
Virti,,670,1129556,2
Kede,,1102,1129552,2
Nabiji,,580,1129525,1
Izzy,,475,1129519,1
Kronki,,1197,1129505,4
Gezud,,498,1129476,2
Korryunan,,859,1129446,3
Ranbin,,452,1129440,0
Rhllor,,685,1129418,0
Tonu,,842,1129411,4
Bibin,,1083,1129409,4
Mujel,,586,1129403,4
Serda,,1475,1129402,4
Altair,,705,1119596,2
Talos,,669,1119563,2
Lilhomie,,697,1119555,4
Odin,,1254,1119528,5
Omuza,,720,1119525,3
Qwarrior,,887,1119470,1
