Abin,,2377,1369415,1
Radz,Champion,2232,1369407,0
Rudyx,,2096,1329460,1
Koreametal,,2212,1329447,1
Sauzer,,2246,1329428,0
Ivesheg,,2210,1329419,0
Koreanjob,,2165,1329407,2
Luna,,2172,1329402,2
Korshoong,Warlord,2115,1309447,0
Chinapanta,,2173,1309437,6
Kirel,,2214,1309427,3
Zarip,Centurion,2146,1309418,2
Sweetnsour,,2093,1299426,0
Paximir,,2188,1289483,0
Rudyx,Challenger,2091,1279583,1
Rudyx,Challenger,2094,1279578,2
Rudyx,,2091,1279553,2
Tmddyx,Challenger,2091,1279530,3
Nibi,,2021,1279519,0
Skyanor,,2008,1279469,1
Riha,,2003,1279448,0
Allstar,,2005,1279407,4
Kinnu,,1895,1269451,0
Vukes,,2204,1269414,6
Erzaph,,2092,1269411,4
Mahara,Challenger,1981,1259506,0
Chinajun,,2196,1259497,2
Atheera,Centurion,2042,1259493,3
Adrian,,2116,1259423,4
Grodek,Centurion,2045,1239472,4
Herd,,2097,1239468,2
Shakenda,,2061,1239420,5
Dweynna,Challenger,1944,1239404,5
Syulatov,,1990,1229452,5
Wispy,Centurion,2112,1229436,0
Artemis,,2152,1229429,4
Sauzer,Centurion,1853,1229410,1
Raizen,Challenger,2069,1229408,3
Manreg,,2086,1229407,4
Gethi,,2214,1229402,8
Overlimit,Challenger,1949,1219432,3
Argose,,2001,1209495,7
Arteros,Centurion,1921,1209482,9
Amanl,Centurion,2036,1209473,6
Gordi,Centurion,2181,1209470,1
Bbmao,,1944,1209460,7
Shuu,,1955,1209456,9
Squee,Centurion,1992,1209438,5
Mansaok,,2034,1209433,4
Fabi,Centurion,2054,1209432,7
Soosoo,Challenger,2000,1209429,5
Ekame,Centurion,2072,1209403,6
Diga,Centurion,2020,1209402,2
Diablo,,2120,1199493,1
Croon,,2020,1199425,0
Firefury,,1282,1189469,3
Kevincai,,2001,1189452,2
Mystify,Challenger,1892,1189449,0
Bholos,,2114,1189447,8
Pattern,,1860,1189439,10
Egene,,2137,1189427,7
Muddafukka,Challenger,2039,1189421,3
Joker,,2099,1189419,5
Ruva,,1257,1189413,1
Mage,,1868,1189411,7
Mystguy,Centurion,2108,1189410,2
Balthasar,Centurion,2046,1179557,6
Korwllly,,2167,1179494,4
Omika,Challenger,1380,1179493,4
Erkuzi,Challenger,2025,1179489,2
Ryumajin,,2312,1179472,6
Vache,,2137,1179458,1
Jjungdaddy,Centurion,2140,1179444,1
Pharazon,,2016,1179437,12
Okogim,Centurion,2071,1179427,4
Okisok,Centurion,2175,1179404,1
Kail,Challenger,1894,1179401,5
Slamdizzle,Centurion,2081,1169486,4
Magone,,1914,1169482,5
Magiq,Challenger,2061,1169466,1
Ioxzys,Challenger,1362,1169460,5
Osin,Challenger,2135,1169455,0
Afrudik,,1830,1169440,15
Rozpierdal,,2023,1169439,6
Miliki,,1119,1169424,2
Wllly,,2167,1169421,1
Mina,Challenger,1924,1169418,1
Patrol,,1886,1169410,3
Rivel,,2049,1169403,0
Catadex,,2165,1159651,5
Siersciuch,Centurion,2097,1159605,1
Rani,Challenger,1993,1159581,1
Gekko,Challenger,2043,1159568,4
Nabime,Challenger,2033,1159557,1
Muerta,,2085,1159556,2
Serenya,,1997,1159502,10
Jabarge,,1997,1159502,8
Forcefeeda,,2051,1159484,7
Overlimit,Challenger,1946,1159481,8
