Wuming,,2404,1399418,1
Vukes,Warlord,2244,1379455,0
Abin,,2387,1379452,2
Chinacloud,,2298,1379439,0
Rudyx,Warlord,2166,1379428,0
Koreametal,,2241,1379415,1
Sweetnsour,,2201,1379411,0
Koryallac,,2224,1379402,0
Ebuthes,,2220,1369415,0
Sauzer,,2272,1369405,0
Skyanor,,2194,1359433,1
Ivesheg,,2233,1359415,1
Kinnu,Warlord,2115,1359408,0
Korshoong,Warlord,2148,1349405,2
Willy,,2135,1349402,0
Database,,2189,1329442,1
Koreanjob,,2206,1329442,2
Korshiva,,2129,1329423,2
Chinasf,Centurion,2175,1329413,2
Camellia,,2171,1329407,2
Chinasha,,2129,1319454,1
Recoo,,2182,1319442,0
Litlbch,,2064,1319441,1
Afrudik,,2105,1319412,3
Luna,,2172,1309503,0
Koreagaja,,2067,1309474,0
Croon,,2075,1309467,0
Syulatov,,2066,1309440,0
Kormisskim,,2052,1309432,0
Mana,,2059,1309427,4
Anba,,2005,1309424,1
Nebraca,,1848,1309414,3
Zarip,Warlord,2148,1309400,1
Ircosig,,1920,1299536,1
Korzzang,,2075,1299475,0
Tranquila,,2030,1299420,1
Nibi,Centurion,2109,1289513,1
Korearolee,,2065,1289468,1
Atheera,Warlord,2100,1289463,1
Cuthuluss,Challenger,1998,1289452,0
Asinoeh,,2116,1289446,0
Qmage,,2077,1289409,3
Erzaph,,2140,1289402,3
Chinadfs,,2115,1279512,3
Mansaok,Centurion,2171,1279482,1
Adrian,,2140,1279465,3
Dweynna,Centurion,2015,1279464,1
Herd,,2119,1279450,2
Carza,,1939,1279437,2
Manreg,,2181,1279406,5
Raizen,Centurion,2123,1279404,1
Ekame,Centurion,2107,1279403,4
Mahara,Challenger,2033,1269464,0
Erina,"War Hero",2289,1269428,6
Loxrox,,1863,1269427,2
Wispy,Centurion,2174,1259509,0
Koreacolor,,1998,1259502,4
Sauzer,Centurion,1979,1259496,0
Artus,,2056,1259478,2
Artemis,,2162,1259449,2
Queen,,2005,1259429,5
June,,2217,1259421,5
Shakenda,,2068,1259420,3
Angmar,,2105,1259409,3
Denan,Challenger,2088,1259408,5
Kazar,Challenger,2062,1259406,4
Greatgame,,2142,1249568,4
Tiara,,2037,1249500,3
Limai,,1946,1249438,4
Gethi,Warlord,2224,1249421,6
Mystica,,2056,1249401,5
Nera,,2027,1239680,0
Hekate,,2003,1239567,4
Andreas,,1564,1239488,0
Mystguy,Centurion,2147,1239464,3
Kimoddi,,2060,1239446,4
Okisok,Centurion,2190,1239435,1
Cothi,,1980,1239421,4
Isat,,2121,1239414,4
Kadga,,1931,1239411,4
Viciousc,,2013,1239410,4
Warlord,,2028,1239410,4
Mongu,,1947,1239408,4
Boss,Challenger,2005,1239404,4
Serenya,,2169,1229588,1
Happy,,1914,1229514,4
Zaimi,Challenger,1961,1229469,1
Sideact,,1895,1229462,2
Gandalf,,1941,1229441,1
Crudo,,2067,1229434,5
Lyana,Challenger,2056,1229421,4
Muddafukka,Challenger,2056,1229417,3
Yuzi,,2032,1229406,5
Chinastar,,1671,1219506,4
Nova,,1966,1219463,5
Fkindianfk,,2070,1219438,3
Aqnf,,2078,1219436,4
Sarkisull,,2104,1219425,1
Gordi,Centurion,2200,1209589,1
Kingslayer,,2162,1209505,3
Josangnim,,2141,1209502,6
Rani,Centurion,2081,1209477,7
Cereblon,,2239,1209462,8
Jiakorea,,2185,1209458,2
Gekko,Challenger,2044,1209444,1
Daigotsu,,2164,1209436,5
Korwllly,,2167,1209420,7
Amanl,Centurion,2051,1209410,8
Osin,Centurion,2161,1209407,2
Okogim,Centurion,2097,1209404,5
Snookums,Centurion,1940,1209403,11
Adex,,1904,1199484,2
Miya,,1970,1199471,4
Eleanor,Warlord,2227,1199467,3
Midgard,,2107,1199465,9
Superhc,,1872,1199430,1
Noob,,2012,1199419,6
Kail,Challenger,2071,1199416,1
Casper,,1146,1199407,4
Hotberg,Challenger,1793,1199402,12
Magone,,2020,1189518,4
Jenny,,2056,1189517,5
Chinapgone,Challenger,2137,1189510,4
Geser,,1319,1189463,3
Bomi,,2232,1189439,4
Mongu,,1947,1189425,8
Womag,Challenger,2076,1189423,10
Luna,,1476,1189421,5
Abeliah,Centurion,2002,1189417,6
Osel,,2023,1189402,4
Grymsch,,1930,1179642,3
Balthasar,Centurion,2057,1179621,8
Jitadra,Challenger,2001,1179619,4
Kisheli,Warlord,2223,1179566,6
Bukol,,1685,1179509,7
Diablo,Challenger,2091,1179506,8
Anegek,Challenger,1968,1179484,12
Totorokor,,2002,1179473,9
Shiva,Challenger,1849,1179469,2
Magia,,2086,1179465,10
Greatczar,Challenger,2117,1179450,9
Rozpierdal,,2028,1179442,6
Overmind,,1728,1179442,1
Mina,,2014,1179416,3
Illaris,Challenger,1792,1179413,2
Uwalk,Challenger,1128,1179411,11
Gerta,Centurion,2036,1179402,6
Adinaz,,1128,1169711,1
Free,,1840,1169599,9
Ovavra,,1523,1169545,4
Icedin,,1962,1169540,4
Jeana,,1432,1169494,11
Edmo,,1652,1169492,12
Arzhel,Challenger,2005,1169490,1
Usmale,,2068,1169449,1
Narff,,2002,1169443,2
Korkingdom,,1667,1169413,3
Liow,Challenger,1715,1169406,2
Redz,,1972,1169403,8
Mystify,,1911,1159635,0
Koreakoko,Challenger,2029,1159622,4
Sapphyre,Centurion,2127,1159608,0
Vache,,2144,1159595,1
Teng,,2055,1159532,0
Berdy,Challenger,1879,1159531,5
Squee,Centurion,2044,1159530,6
Prasogrind,,1410,1159521,6
Daenghevar,Challenger,1985,1159514,1
Pharazon,,2021,1159509,11
Jepongskie,,2137,1159502,5
Slamdizzle,Centurion,2081,1159500,5
Onnol,,2001,1159481,5
Hking,,1673,1159471,7
Canardcool,,1901,1159453,4
Temun,Challenger,1965,1159444,2
Andyhtml,Challenger,2181,1159438,2
Water,,1861,1159428,6
Asura,Challenger,1994,1159425,6
Everyday,,2110,1159419,4
Grinder,,1190,1159419,3
Jaina,,2004,1159418,3
Ridnon,,1677,1159416,1
Magda,,2075,1159415,7
Amazo,,1493,1159404,8
Jomagia,,2076,1159400,7
Zuget,,2088,1149595,3
Cacsl,,1438,1149430,5
Kilandra,Challenger,2116,1149424,8
Cebruk,Challenger,1986,1149421,2
Sirius,Challenger,1970,1139598,3
Margo,,2035,1139596,5
Czarina,,2116,1139474,8
Deviator,,1009,1139445,10
Investor,,1410,1139443,7
Alan,Challenger,1775,1139440,3
Kazi,,1806,1139435,2
Rothan,,1784,1139422,12
Omenon,,2028,1139421,2
Chinalt,,1966,1139419,0
Tanri,,1360,1139415,2
Johanna,,1879,1139409,8
Mice,Challenger,1569,1139407,2
Ocam,,1788,1129701,3
Ovut,Challenger,1208,1129698,1
Hexa,,1832,1129533,4
Mocha,,2072,1129464,4
Cmptrwhz,Challenger,1981,1129458,3
Xiaoligu,,1712,1129450,6
Rutagan,Challenger,2043,1129449,11
Demon,,1889,1129441,2
Kadniche,,1949,1129437,9
Ritha,,1238,1129434,8
Andyhtmlgg,Challenger,2172,1129433,7
Devman,Challenger,1783,1129427,1
Raven,Challenger,2100,1129427,4
Azeri,,2036,1129424,3
Dhyaan,,1769,1129423,1
Merkary,,1852,1129421,1
