Chinahjj,,2258,1329418,1
Arin,,2300,1329418,1
Korealati,Champion,2285,1319421,1
Romme,"War Hero",2200,1319413,2
Orgasm,,2220,1319413,0
Mrkim,,2339,1319410,0
Chinakings,"War Hero",2340,1319406,0
Koreajia,,2205,1319405,0
Cereblon,,2239,1309448,0
Abin,,2385,1309418,1
Chinadream,,2122,1299407,1
Craghack,,2223,1289437,0
Argon,Centurion,2141,1289424,0
Kins,,2226,1289423,0
Borok,Warlord,2160,1289413,0
Offwhite,,2085,1289408,2
Abin,,2385,1289406,0
Korddoti,,2086,1289405,0
Chinahjj,,2203,1289405,1
Triggus,Warlord,2141,1289404,0
Ukll,,2189,1289404,1
Ppbody,,2101,1289404,0
Gkatana,,2187,1289402,1
Eric,,2288,1279457,0
Aramon,Centurion,2185,1279452,0
Beer,,2184,1279440,0
Fanren,,2181,1279436,0
Kira,Challenger,2102,1279433,0
Crisxask,,2192,1279431,0
Ecen,,2055,1279417,1
Ovut,,2268,1279407,0
Ahegao,Challenger,2170,1279403,0
Mirades,,2112,1269467,2
Fiona,,2011,1269445,0
Chinachalu,,2170,1269445,3
Tempadin,,2184,1269443,1
Geniejin,Warlord,2211,1269428,0
Duran,,2038,1269428,0
Dabang,,2032,1269427,0
Yeolmoo,Challenger,2139,1269422,0
Korsj,,2017,1269414,0
Adrekal,Centurion,2203,1269409,1
Orion,,2200,1269405,0
Jinkiss,,2074,1269405,3
Arianny,,2215,1259537,0
Chinapgone,Warlord,2127,1259497,1
Ollus,,2100,1259483,0
Rumakc,Warlord,2168,1259432,0
Abred,,2132,1259428,4
Kormtr,,2136,1259424,1
Chinacheni,,2202,1259414,3
Nagibator,Warlord,2134,1259410,0
Minnnnn,,2007,1259409,0
Iago,,2085,1259408,0
Dredd,Centurion,2148,1259404,0
Apollo,,2135,1259402,0
Margot,,1932,1259400,8
Rasta,Challenger,2106,1239540,0
Didal,,1961,1239535,0
Ppppp,Centurion,2180,1239524,0
Vich,Challenger,2196,1239513,1
Zercul,Warlord,2160,1239502,0
Lothario,,2136,1239498,0
Anrhfflq,,2197,1239497,2
Thrall,,2005,1239489,0
Vihit,Centurion,2125,1239477,0
Vecarta,,2090,1239459,2
Chinaqaz,,2063,1239455,0
Rsaw,,2120,1239451,0
Ojbk,,2224,1239451,2
Schrei,Centurion,2149,1239444,0
Pota,,1903,1239444,0
Chinaamy,,2101,1239442,1
Chinaice,,2055,1239440,1
Igruzuz,,1959,1239439,2
Koreamoon,Warlord,2126,1239438,1
Korgyong,,2074,1239434,0
Chinaj,Challenger,2056,1239431,4
Pontus,,2086,1239429,0
Korlushid,,2058,1239429,1
Mxcl,,2013,1239428,2
Chinazhu,,2175,1239427,0
Ethetia,,2090,1239420,1
Ohad,,2133,1239418,0
Phorfeet,,2031,1239417,3
Hellsion,Centurion,2066,1239416,0
Qqqq,,2141,1239416,1
Zeke,,2126,1239415,0
Jhokey,Centurion,2125,1239415,4
Mila,,2056,1239414,0
Hegel,,2121,1239408,1
Ilul,,2057,1239408,4
Donquixote,,2084,1239407,0
Chinaglenn,,2034,1239406,0
Ivrok,,2021,1239403,0
Kolus,,1952,1239403,4
Yeolmoo,Centurion,2130,1239401,0
Kavi,,2115,1239400,2
Chinacctv,,2177,1239400,2
Peekaboo,,2162,1229496,0
Korbatg,,1960,1229475,4
Vuvavi,Challenger,2218,1229467,0
Michy,Centurion,2096,1229453,0
Kokmeat,,1897,1229449,2
Ujhbn,,1967,1229447,0
Dammit,,2074,1229445,1
Anivon,,2018,1229443,2
Apolzin,Centurion,2059,1229439,0
Bruce,Centurion,2105,1229436,2
Ojel,,2007,1229435,3
Chinawwwv,,2162,1229432,4
Abred,,2119,1229429,2
Chinacoce,,2098,1229428,1
Jarug,Centurion,2118,1229426,0
Lela,,2119,1229424,0
Ransoy,Challenger,2098,1229423,1
Baki,Centurion,2084,1229420,0
Korhoney,,2102,1229418,1
Bluechip,,1950,1229418,1
Afrin,,1999,1229416,1
Aserdon,,2013,1229414,1
Sutis,,1918,1229411,0
Geez,,2112,1229410,0
Baja,Centurion,2103,1229408,0
Mengxin,,1913,1229407,0
Hong,,1997,1219487,0
Nicebsc,,1971,1219485,0
Batg,,1960,1219482,7
Rertuk,Centurion,2135,1219453,1
Kormk,,1753,1219450,2
Gyong,,2047,1219444,1
Chinasnipe,,2088,1219441,6
Ramin,,1490,1219429,0
Korsullika,,2038,1219427,2
Mahara,Challenger,2033,1219414,0
Patricia,Centurion,2128,1219407,0
Jini,,2105,1219407,1
Qnfrk,,2078,1219405,5
Storm,,2164,1209579,1
Abiki,Challenger,2180,1209506,3
Uretro,Centurion,1982,1209506,0
Gece,Challenger,2021,1209495,0
Avrahi,,1604,1209475,0
Honeyj,,2089,1209473,0
Hachi,,2090,1209467,0
Madman,Challenger,1978,1209464,0
Deksing,Warlord,2130,1209458,0
Blitz,,2033,1209448,1
Glissa,Centurion,1986,1209445,0
Sauzer,,2263,1209440,0
Chinapanda,,2021,1209434,0
Avice,,2118,1209428,0
Blot,,2059,1209428,0
Tribeangel,Centurion,1989,1209425,1
Jeju,,2046,1209412,2
Huhu,,1950,1209405,2
Sauzer,,2266,1209402,0
Matrempit,,2128,1199506,1
Chinaxf,,2033,1199424,1
Mohagga,,2038,1199418,1
Lebe,,2007,1189603,2
Tigra,,2277,1189603,0
Stewbert,Challenger,2061,1189585,0
Dedej,Challenger,1987,1189567,2
Chinakouer,,1910,1189527,0
Juck,,2002,1189524,1
Klaus,Challenger,1901,1189520,0
Rubaka,,2144,1189510,1
Ssamgirl,,1950,1189483,3
Eric,,1877,1189476,0
Asos,,2016,1189469,3
Chinahjj,Warlord,2250,1189466,2
Jocelyn,,2046,1189465,2
Idisha,,1843,1189465,1
Orcig,,1768,1189462,2
Baja,,2106,1189455,1
Tona,,1920,1189451,1
Chiara,,2207,1189450,1
Bart,,2110,1189448,1
Cathi,,1988,1189447,3
Dark,Challenger,2044,1189443,0
Schala,Centurion,2084,1189442,1
Ikraha,Challenger,2052,1189441,1
Annane,,2041,1189440,0
Xellos,,1716,1189440,4
Ocovos,,1993,1189436,4
Sahle,,2052,1189435,1
Mahara,Challenger,2033,1189433,3
Nabrol,,1517,1189429,1
