Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Mory;;1090;71.63;127;350;108;15;117;2;android
Inichi;;1434;71.19;124;454;82;19;99;7;android
Ered;;1551;71.00;122;492;160;3;175;7;windows
Sirge;;595;70.63;121;587;88;9;146;9;ios
Chinav;;2034;70.88;119;72;17;10;145;0;windows
Mage;;1980;71.44;119;89;48;19;101;0;windows
Editham;;1857;71.50;119;120;25;20;95;0;android
Fashi;;1739;71.31;119;134;5;15;126;0;android
Angel;;1973;70.38;119;174;96;14;124;0;windows
Ojbk;;2070;70.56;119;180;60;7;157;1;windows
Erimo;;1935;71.50;119;229;61;15;126;2;android
Natah;;949;70.75;118;536;129;4;164;4;android
Bujode;;1435;70.50;116;500;115;3;180;9;steam
Hyunjung;;568;70.88;116;587;99;19;99;10;android
Thxgod;;1691;70.81;115;396;66;20;94;9;ios
Demetriy;;549;70.88;114;522;167;16;114;3;steam
Gelega;;703;70.44;114;595;242;11;140;9;steam
Denwaylnr;;484;71.00;113;506;209;10;138;4;android
Sekuron;;1387;70.56;113;522;352;12;137;0;windows
Luci;;703;69.88;113;598;227;16;117;7;ios
Irzaka;;643;70.63;112;593;249;14;134;2;ios
Erithen;;1252;70.56;111;594;269;12;126;0;steam
Vabrel;;738;70.25;109;538;195;12;141;5;steam
Isite;;889;70.13;107;499;111;18;106;5;android
Cruel;;622;70.69;107;561;130;22;88;6;android
Markus;;617;69.56;107;586;218;8;173;8;android
Edmund;;830;71.75;107;598;273;12;125;8;android
Erenstl;;1169;70.56;103;483;182;16;115;6;android
Urru;;682;68.31;102;369;68;15;113;4;steam
Idil;;799;70.63;102;433;85;18;104;4;ios
Narel;;475;65.88;102;522;145;19;97;5;android
Jejoma;;620;70.13;102;532;163;17;128;8;android
Poroshenko;;886;71.00;102;571;278;8;148;0;android
Warrr;;484;70.81;101;372;79;19;100;6;android
Voha;;385;68.69;101;386;112;13;136;7;ios
Ecucha;;623;68.13;101;493;72;12;134;10;ios
Aviz;;535;70.69;101;559;121;13;132;10;android
Vofra;;942;70.56;100;180;17;16;124;3;android
Razes;;854;70.69;100;317;62;14;127;2;android
Juta;;447;70.38;100;411;47;6;165;8;ios
Molghun;;795;69.63;100;418;63;15;122;0;android
Judushe;;508;69.50;100;449;132;14;135;3;android
Fiore;;684;69.44;100;463;166;20;99;7;android
Jezoga;;495;67.88;100;518;117;13;140;20;steam
Otes;;904;71.19;100;521;294;10;169;4;android
Queen;;604;70.56;100;552;142;10;138;1;android
Ozek;;556;70.50;99;507;226;4;172;2;android
Mordessa;;774;68.44;98;589;184;16;118;8;android
Octobertwo;;716;70.88;98;594;241;7;183;5;android
Osholi;;374;70.38;97;350;77;11;138;0;steam
Mage;;848;70.31;97;486;371;10;149;8;steam
Kerad;;426;70.31;97;555;211;14;125;4;android
Zorca;;616;70.00;96;497;199;12;132;11;android
Koja;;705;70.00;96;513;126;11;139;3;android
Pipetka;;500;69.94;96;562;82;12;133;3;android
Baha;;403;70.19;95;408;78;12;139;16;android
Abruzi;;541;70.13;95;427;48;15;119;2;android
Bluey;;662;70.81;95;440;170;12;139;5;ios
Lilith;;627;69.63;95;480;117;17;113;10;android
Ahekiz;;426;70.38;95;556;159;10;148;11;android
Ahave;;852;70.94;95;581;181;13;136;0;android
Lilit;;704;70.31;93;521;267;7;151;1;steam
Puppy;;515;66.63;92;526;215;17;104;0;android
Hulom;;631;69.63;92;577;223;17;111;14;android
Deleteme;;728;70.88;91;330;190;15;126;1;ios
Quefi;;697;70.75;91;354;207;12;134;0;windows
Zallisha;;950;70.44;91;441;179;13;129;0;android
Rane;;555;70.88;91;546;220;14;117;3;amazon
Diablo;;866;70.81;91;583;335;24;117;2;android
Event;;372;70.44;91;585;89;13;124;6;steam
Rinne;;615;70.81;90;277;27;27;65;2;android
Sute;;480;68.69;90;301;132;17;114;1;steam
Circe;;582;70.63;90;317;78;11;142;0;android
Zuhik;;880;70.63;90;335;96;13;131;7;ios
Henna;;558;69.25;90;377;97;6;165;0;windows
Nuki;;640;70.63;90;389;181;16;118;0;android
Ethitun;;463;69.56;90;420;182;15;119;1;android
