Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Koko;;2143;72.44;159;496;288;2;181;6;windows
Bushido;;1879;71.31;130;218;70;11;138;0;steam
Superman;;1150;70.69;126;479;233;7;149;9;ios
Insane;;1279;71.19;126;505;210;3;168;0;ios
Abun;;1006;71.88;125;287;111;13;132;0;steam
Goku;;1325;70.94;125;403;135;15;123;2;android
Dakzx;;1028;70.69;122;543;366;7;156;9;android
Azathot;;733;70.63;122;557;215;18;94;8;android
Wolverine;;922;70.63;121;459;296;9;144;5;android
Wocaonima;;778;71.75;121;467;243;12;126;6;steam
Yuliya;;1842;71.56;121;552;197;16;103;4;android
Enusug;;906;70.88;121;559;322;12;132;3;ios
Remi;;843;71.69;120;423;101;10;149;3;android
Evabe;;2094;71.63;119;39;2;13;134;0;steam
Beast;;2061;71.31;119;47;10;16;120;0;android
Maga;;2105;71.19;119;47;5;16;115;0;windows
Eternium;;2010;72.75;119;48;16;17;112;0;steam
Areyouok;;2056;71.44;119;55;23;14;128;0;android
Benchpress;;2016;72.06;119;62;25;18;106;0;windows
Alice;;2002;71.69;119;72;21;14;126;0;android
Egrum;;2001;71.50;119;91;53;17;118;0;windows
Osel;;1919;71.75;119;93;51;7;161;0;steam
Noseauto;;1985;71.25;119;120;73;19;108;1;android
Trytrytry;;2036;70.81;119;160;107;12;138;1;android
Etadan;;1173;70.38;119;220;123;9;151;1;android
Buffy;;1577;71.63;119;363;132;10;147;5;ios
Blizzard;;1263;70.75;119;556;213;19;101;10;windows
Iiiii;;1315;71.44;118;456;288;6;162;13;android
Ohak;;985;71.31;118;467;326;21;106;5;steam
Evim;;1709;72.31;118;511;218;9;147;8;steam
Hehe;;1427;71.13;118;528;231;17;120;10;steam
Bordiii;;1221;71.13;117;507;198;9;139;2;android
Raoul;;700;71.13;117;591;272;16;120;9;ios
Nullitas;;870;71.69;116;444;147;9;148;0;android
Erzan;;820;71.06;116;500;225;9;142;0;windows
Odese;;804;71.00;116;516;213;7;162;12;ios
Moncerrat;;653;71.19;115;248;62;9;152;0;android
Boudica;;794;70.63;115;249;101;17;109;0;steam
Sawyer;;1117;71.63;115;254;76;12;133;0;steam
Iman;;1080;71.38;115;272;90;14;124;0;steam
Ovaz;;742;70.56;115;292;134;10;143;1;android
Adric;;848;71.63;115;302;94;13;131;2;android
Lodone;;1870;70.94;115;321;71;13;132;0;android
Dishat;;928;71.00;115;403;112;14;132;7;windows
Case;;1018;70.31;115;451;210;8;191;2;ios
Datejust;;1486;71.00;115;497;397;15;134;0;android
Eren;;586;71.44;114;589;366;12;133;3;android
Sunmi;;1015;71.06;113;447;283;20;92;2;android
Tishig;;852;71.00;113;491;177;9;144;3;android
Guci;;834;70.44;113;529;382;15;121;1;android
Forhire;;1085;70.25;113;550;247;6;162;13;android
Nircik;;822;67.88;113;555;58;19;98;4;android
Steelblood;;749;70.81;112;469;207;14;116;3;ios
Eventboy;;848;69.94;112;553;246;17;111;1;android
Hitmastr;;985;71.06;112;571;252;11;132;2;android
Fazer;;1063;70.94;112;575;180;14;131;6;android
Elleeight;;1048;69.94;111;539;306;12;145;6;ios
Jorcak;;657;70.69;111;562;220;17;115;2;android
Tuhug;;755;70.69;111;580;193;7;160;6;android
Zhanshi;;1665;71.25;110;60;16;7;162;0;android
Ivrum;;1029;71.50;110;179;55;18;103;2;android
Ogirzim;;938;71.50;110;253;90;14;121;2;windows
Ikorad;;916;70.69;110;342;114;7;159;2;android
Pinas;;1465;70.69;110;372;105;13;132;10;android
Miki;;1081;69.44;110;381;96;10;146;30;steam
Grey;;1034;70.81;110;427;117;6;161;5;android
Hushi;;892;70.69;110;461;181;14;126;0;windows
Hizeg;;984;71.25;108;441;276;6;156;4;steam
Alizet;;767;71.06;108;441;199;13;123;1;android
Neket;;1319;70.69;108;455;163;20;92;7;steam
Nedel;;1221;70.81;108;495;119;7;154;0;windows
Lootkenora;;1344;70.88;108;505;138;12;131;0;windows
Holes;;600;70.69;108;547;308;12;132;4;android
Nami;;766;70.88;108;568;221;4;166;1;steam
Applepie;;746;67.19;108;573;250;18;95;7;windows
Carte;;671;71.13;108;599;208;21;90;6;android
Icata;;1060;70.88;107;503;245;9;144;4;android
Fandoria;;1191;70.38;107;531;212;5;167;14;android
Emas;;667;69.38;107;577;205;10;142;12;android
Dinnka;;547;70.31;106;398;105;10;142;4;android
Siloji;;614;71.50;106;493;218;11;134;1;android
Jocanna;;846;70.31;105;201;85;7;162;1;android
Aezam;;695;70.44;105;237;80;17;109;0;android
Prince;;552;70.00;105;254;96;18;106;0;android
Dahanavar;;370;68.25;105;287;24;7;157;2;android
Vahn;;780;70.75;105;296;94;8;150;0;android
Enik;;833;70.75;105;322;68;13;134;7;android
Imore;;657;70.19;105;326;75;20;94;2;android
Zisa;;641;70.56;105;337;70;13;129;0;ios
Mordine;;988;66.94;105;377;91;12;137;2;android
Lonreha;;636;70.75;105;380;84;9;151;0;android
Zate;;742;70.38;105;389;107;12;135;8;steam
Ezra;;498;68.50;105;408;166;10;147;0;android
Okosi;;606;70.88;105;422;99;10;145;0;android
Bulkhatos;;977;70.75;105;422;72;18;100;1;android
Susah;;1106;71.06;105;552;160;18;106;0;android
Hera;;738;70.63;103;482;227;15;116;4;android
Nini;;537;69.38;103;532;305;7;152;1;android
Numace;;658;68.94;103;535;280;24;78;4;android
Huila;;572;70.38;103;559;278;6;162;3;ios
Atima;;554;69.25;102;503;155;10;140;2;android
Kesin;;542;70.75;102;518;276;18;118;5;windows
Naomi;;517;68.63;102;527;177;10;142;4;android
