Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Yumin;;966;72.00;136;566;269;14;127;7;steam
Locari;;1243;72.75;135;432;139;10;144;13;ios
Hant;;848;72.06;133;546;241;9;147;13;android
Kapa;;1218;72.31;130;373;127;11;145;14;steam
Buwang;;1545;71.00;126;330;160;10;150;0;steam
Eboji;;772;71.56;126;558;187;11;141;2;ios
Hwal;;798;71.19;125;532;196;3;184;52;ios
Gracie;;815;71.44;124;423;160;20;98;17;android
Daguaishou;;968;70.94;123;429;206;24;74;9;steam
Gasurgi;;620;71.38;123;555;181;17;110;16;android
Verse;;987;71.88;120;384;104;17;112;10;ios
Avekra;;1414;71.25;120;476;282;17;118;6;ios
Southeast;;1838;69.06;119;202;68;19;102;2;steam
Pwaffy;;630;70.69;116;523;126;10;144;9;android
Sagim;;1255;70.88;112;329;169;13;128;3;android
Corses;;783;71.19;112;429;194;13;127;20;android
Dashu;;495;66.81;112;492;194;8;150;5;steam
Italmaf;;500;70.69;110;467;186;14;127;8;android
Hukil;;623;70.75;109;503;164;9;152;22;ios
Avelle;;1228;72.63;108;460;242;16;111;4;android
Conetha;;836;68.50;107;341;118;10;137;1;steam
Jerry;;723;70.25;107;412;115;16;110;12;ios
Billa;;509;70.31;107;592;279;17;110;8;android
Marzava;;455;69.25;107;593;257;5;171;21;steam
Naruto;;730;69.69;105;415;118;18;111;4;android
Irdarti;;642;71.19;104;347;144;9;147;7;android
Tathos;;739;70.56;104;566;196;20;94;7;android
Idrin;;637;71.13;103;409;114;14;134;4;android
Thetwo;;833;69.63;103;469;217;24;77;24;android
Medoed;;1040;70.38;103;495;276;14;125;9;android
Idurzis;;772;68.38;103;506;302;28;69;7;steam
Ivent;;810;71.44;102;395;90;17;108;7;windows
Otaril;;339;72.56;102;421;100;23;82;14;android
Novrisa;;616;71.06;102;455;235;22;97;11;android
Sindelka;;561;70.88;102;487;267;17;120;19;android
Bihe;;569;70.44;102;557;233;7;150;3;steam
Nokus;;573;69.69;102;562;145;15;121;5;steam
Ivus;;384;66.88;101;278;121;19;124;2;steam
Ashin;;874;70.88;101;322;116;26;69;7;windows
Keldar;;575;70.63;101;449;150;11;137;7;android
Tapa;;731;69.94;100;206;19;16;119;1;android
Rishe;;513;70.13;100;324;85;10;150;2;ios
Sile;;328;70.19;100;339;71;14;127;3;android
Kuki;;769;68.50;100;351;137;9;149;2;steam
Vvvvvv;;334;70.31;100;380;134;15;139;17;ios
Abisuk;;693;71.06;100;387;131;15;140;21;android
Loci;;565;70.50;100;437;189;18;123;25;android
Glikky;;327;68.88;100;452;102;18;126;4;steam
Turgoba;;426;69.44;100;503;183;17;116;13;steam
Othin;;529;67.31;100;518;237;22;98;2;android
Tiba;;1083;67.31;99;383;116;16;117;8;android
Strelok;;389;69.63;98;478;233;18;108;8;steam
Kine;;495;68.94;98;557;133;21;89;5;android
Naomichi;;527;71.13;97;392;151;12;134;2;android
Zalupa;;897;70.19;97;417;177;14;126;13;android
Geri;;525;70.44;97;506;284;18;111;17;android
Baddead;;457;70.44;96;445;112;16;116;24;android
Vasha;;844;70.31;96;531;225;14;129;10;android
Jombaqo;;435;67.69;96;578;242;11;173;7;android
Bobby;;455;70.06;96;588;227;11;145;6;ios
Cuhod;;433;70.44;96;598;217;11;137;3;steam
Emonna;;627;71.63;95;283;114;20;100;3;windows
Modigra;;501;70.06;95;337;95;14;128;0;android
Flint;;692;70.81;95;341;90;21;93;3;ios
Dejaci;;459;70.25;95;413;92;10;149;1;android
Gdfwar;;410;68.19;95;448;140;12;146;13;ios
Iceg;;575;70.25;95;463;62;12;138;4;steam
Paradox;;537;70.63;95;493;133;16;117;6;steam
Frike;;483;68.69;94;340;99;11;142;2;android
Zoce;;435;70.31;94;550;112;21;96;13;android
Dujorda;;303;70.19;93;553;154;6;162;9;android
Rarge;;334;70.25;92;432;180;9;155;12;steam
Neci;;923;70.38;92;443;152;13;136;10;android
Jane;;465;69.25;92;443;60;11;139;7;android
Vegan;;677;69.69;92;450;134;11;142;9;amazon
Bullzeye;;706;70.69;92;485;288;12;132;8;ios
Nexizm;;558;70.44;91;565;195;6;157;7;android
Kirza;;318;67.56;90;142;27;23;80;2;steam
Nannefra;;328;70.50;90;191;29;20;99;8;steam
Donna;;549;70.63;90;259;43;11;137;0;amazon
Camanne;;283;68.75;90;414;187;11;139;1;android
Legalas;;311;69.31;90;423;84;20;99;4;android
Aaricia;;509;69.81;90;445;177;20;103;15;android
Bebusha;;769;70.44;90;471;124;14;126;11;windows
Karabin;;519;69.19;90;512;274;4;183;8;android
Ozile;;433;70.63;90;519;123;16;119;20;ios
Hilde;;343;67.25;90;524;151;11;143;3;ios
Oshak;;350;64.69;90;556;228;7;160;0;ios
Balvan;;245;70.50;89;387;67;18;111;32;android
Ivusa;;509;70.38;88;324;98;15;139;23;android
