Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Winter;;2037;72.13;156;523;376;7;150;3;steam
Cahum;;2010;72.50;147;561;347;14;119;9;android
Qewq;;1629;71.44;137;472;335;11;137;2;steam
Onneme;;1426;72.81;133;551;388;20;126;11;android
Mace;;1648;72.06;130;298;140;7;158;2;android
Hitsuyo;;1160;71.38;128;465;182;18;100;5;android
Concacne;;1009;72.44;127;403;248;6;158;1;ios
Xehe;;1327;71.44;120;246;78;9;148;0;steam
Winter;;1209;71.19;119;172;81;20;96;1;steam
Otil;;1231;68.94;115;225;109;18;111;1;steam
Itsover;;930;70.50;115;346;129;12;141;7;android
Propolis;;884;71.56;114;575;416;19;98;2;android
Master;;1716;70.94;113;457;305;10;148;10;android
Githuki;;514;69.19;112;578;258;9;145;4;android
Zallim;;713;70.81;111;472;308;25;80;2;android
Nechigi;;690;71.13;110;361;77;17;111;2;android
Busul;;1162;70.50;110;474;180;17;119;2;android
Ithugat;;652;70.69;107;399;207;14;125;0;android
Ovrosa;;440;70.88;107;579;270;6;161;4;steam
Kenny;;961;70.75;106;444;253;19;143;7;android
Rjwarrior;;586;71.13;106;447;152;21;107;1;android
Dime;;444;60.50;106;526;181;14;119;3;android
Habice;;475;69.81;106;554;121;9;139;7;android
Angelina;;584;70.19;105;265;39;17;109;4;ios
Xstl;;1300;70.56;105;314;96;9;150;4;android
Orgasm;;774;69.25;105;345;81;0;191;0;android
Looooool;;777;69.50;105;353;115;9;150;6;android
Leadhead;;1150;70.56;105;492;167;9;153;6;windows
Kersol;;707;70.75;104;433;183;18;115;16;steam
Cimag;;595;70.50;104;474;179;19;96;9;steam
Tank;;539;70.44;104;491;317;17;121;4;android
Ramenii;;958;70.56;103;459;147;19;92;3;amazon
Kekozavr;;528;69.06;103;492;232;8;159;1;steam
Murzaz;;491;70.38;103;522;286;15;121;8;android
Sese;;541;70.38;103;532;270;13;144;7;android
Onnud;;718;70.81;102;300;108;16;115;11;steam
Surece;;463;70.19;102;386;146;9;146;0;ios
Punisher;;1013;69.44;102;567;243;13;125;4;android
Ukraine;;640;70.25;100;235;49;13;131;0;android
Sparte;;724;70.44;100;260;78;10;142;0;android
Jerus;;472;69.94;100;293;109;12;137;0;android
Ironside;;479;70.31;100;315;92;8;154;1;android
Irod;;593;70.63;100;346;138;16;113;0;android
Warriorc;;513;69.31;100;394;70;17;109;0;steam
Mugaz;;574;69.50;100;408;120;12;131;0;android
Pyrox;;591;70.19;100;413;136;7;158;3;android
Vishe;;624;70.56;100;429;46;8;157;18;android
Ruha;;447;70.38;100;467;98;22;84;1;android
Onunig;;673;70.44;100;559;148;9;151;4;android
Seri;;385;63.13;99;548;230;9;140;4;android
Protosska;;685;70.56;98;414;131;8;147;4;android
Dark;;384;70.75;97;492;250;4;170;2;ios
Rebjorn;;425;70.31;96;533;158;14;113;0;android
Hexen;;761;70.44;96;587;245;13;125;9;ios
Egagog;;515;70.63;95;150;42;21;94;0;android
Duguli;;346;74.13;95;249;64;17;107;0;android
Kalibri;;537;70.69;95;381;124;17;107;1;android
Lakik;;367;70.88;95;548;245;24;77;0;android
Hoce;;223;68.94;94;328;124;9;144;7;steam
Bubud;;768;71.00;94;506;184;5;160;3;steam
Chost;;395;69.88;93;425;147;12;133;5;android
Aruti;;256;67.19;93;433;198;10;163;7;android
Trixie;;315;69.63;92;595;157;15;122;19;android
Inuja;;465;70.06;92;595;331;12;134;1;android
Baby;;325;69.50;91;439;148;19;96;4;android
Tidi;;239;71.00;90;228;46;7;154;0;android
Akribrom;;397;68.13;90;245;53;19;97;0;steam
Hurik;;872;70.19;90;311;107;10;143;0;android
Baby;;351;67.81;90;497;134;17;112;6;android
Rina;;439;69.75;90;497;118;23;84;0;steam
Midi;;420;70.31;90;572;240;18;111;1;ios
Ozidris;;628;70.44;88;441;219;21;90;5;android
Erikatwo;;326;69.50;88;485;140;16;110;1;ios
Asher;;397;70.50;88;541;216;26;62;4;android
Rurgek;;377;67.44;87;548;183;7;153;6;android
Obuzak;;418;70.06;87;555;201;18;103;11;android
Mispickles;;613;69.31;87;589;359;6;158;1;android
Madimi;;231;63.88;86;306;117;14;126;1;android
Elim;;335;68.81;86;333;108;22;80;3;steam
Vera;;230;68.00;86;479;179;14;128;3;steam
Redex;;598;69.88;86;568;247;14;127;13;android
Event;;362;70.06;86;584;95;12;126;9;android
Varkele;;352;66.25;85;336;80;15;118;0;steam
Ghazi;;376;58.88;85;359;106;13;129;0;ios
Radida;;395;70.56;85;378;113;9;151;0;android
Korgali;;561;70.13;85;492;181;12;140;4;ios
Rothi;;635;70.38;85;570;246;13;148;1;steam
Ticizi;;303;68.69;84;277;66;13;138;0;android
Jure;;484;70.25;84;350;89;21;101;2;android
Aboz;;321;70.25;84;375;81;6;159;2;android
Monad;;263;66.31;84;458;173;23;112;8;android
Tige;;515;69.75;84;549;172;15;97;0;ios
Luchez;;455;70.25;83;295;85;14;124;1;android
Otherez;;227;65.69;83;367;189;18;99;2;android
Zohan;;467;70.56;83;535;188;7;162;2;android
Qdic;;250;70.63;83;578;176;10;148;7;android
Dabo;;369;69.25;82;398;114;9;149;0;android
Agartik;;423;70.69;82;417;189;12;131;0;ios
Gurcabi;;269;69.94;82;486;137;9;141;1;android
Irol;;325;70.56;82;521;92;16;99;1;android
Ercumiz;;265;67.06;82;529;207;8;154;1;android
Etun;;719;70.38;82;592;284;7;159;3;android
Egravuk;;401;68.31;81;429;129;12;121;4;android
Memobe;;346;68.50;81;579;135;11;136;2;android
Modri;;343;63.50;80;320;63;9;152;1;android
Avada;;293;66.31;80;346;64;7;159;4;android
Tupizden;;412;64.75;80;392;93;18;107;0;android
Korleva;;369;70.44;80;498;225;6;173;0;android
Gezoda;;342;70.38;80;510;168;18;101;1;ios
Eviz;;448;70.38;80;586;154;21;87;0;steam
Seahunk;;1351;70.25;79;25;3;29;54;0;android
Ruci;;1484;70.56;79;36;7;15;123;0;android
Sunny;;1059;71.00;79;38;2;12;142;0;android
Distelmaus;;1013;69.81;79;40;4;21;99;0;android
Surkey;;968;69.81;79;47;12;24;83;0;steam
Rincon;;759;70.25;79;94;21;19;99;1;amazon
Vovoga;;317;69.75;79;476;168;20;102;4;android
Bayern;;245;67.56;79;576;246;14;117;0;android
Rogra;;326;70.38;78;448;193;12;133;1;steam
Ceren;;388;70.31;78;504;127;10;133;1;android
Tina;;340;68.38;78;542;154;10;140;4;android
Hoshez;;286;70.13;78;543;199;11;129;2;steam
Memphis;;312;70.44;78;559;258;21;82;4;ios
Aerials;;296;70.38;78;577;144;11;131;0;android
Dushibri;;372;66.56;77;425;86;14;120;0;windows
Ensiferum;;246;69.75;77;436;85;17;107;3;gpgpc
Cooldude;;371;70.75;77;535;214;20;89;1;windows
Katishtak;;366;71.50;77;541;95;12;129;1;android
Saha;;300;67.50;77;594;190;13;127;0;android
Dibreni;;242;69.94;76;338;81;12;144;3;android
Zegriha;;342;70.00;76;367;120;17;106;0;windows
Evbensowrd;;255;70.44;76;469;106;18;98;1;android
Sokrorze;;240;67.63;76;499;210;16;131;7;android
Ilulle;;290;67.63;76;502;155;12;130;3;steam
Ejatha;;276;66.81;76;548;146;17;106;3;steam
Itise;;249;64.38;75;341;50;13;122;0;android
Ofrom;;377;69.38;75;378;102;8;156;0;ios
Jimmycm;;368;69.81;75;498;146;18;94;0;android
Rikag;;275;70.25;75;513;175;19;97;0;android
Action;;237;67.56;75;563;197;11;141;0;android
Hera;;559;71.38;74;536;170;16;122;7;ios
Gubaza;;405;70.19;73;415;119;12;131;0;android
Kakushi;;370;70.69;73;420;164;18;97;1;steam
Biksa;;374;68.88;73;500;249;7;148;2;android
Omara;;605;68.69;73;507;324;21;85;4;ios
Hisarius;;267;70.75;73;516;193;18;93;3;android
Arzun;;259;65.31;73;548;246;25;84;2;android
Conan;;288;70.06;72;339;83;19;91;0;android
Orkichaz;;371;68.25;72;481;112;9;148;0;android
