Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Chinanbg;;2060;72.56;169;555;224;7;159;5;windows
Chinaf;;2087;72.31;169;558;179;11;143;0;windows
Zoob;;2001;73.06;168;483;480;18;105;2;windows
Jubben;;2057;73.44;164;420;150;10;143;0;android
Chinadd;;2052;72.50;164;576;149;9;143;3;steam
Kortong;;2109;73.38;163;470;122;11;138;3;windows
Efich;;2134;72.75;163;588;311;7;161;2;steam
Tinman;;2050;71.81;161;488;99;3;174;2;android
Marialupa;;2107;73.44;159;585;150;9;144;2;ios
Kinnu;;2088;71.38;158;463;146;10;145;6;steam
Emily;;2049;71.69;158;596;107;16;96;1;steam
Sarah;Champion;2031;71.81;157;513;198;13;129;2;android
Michysurf;;2004;72.88;157;533;161;8;145;1;android
Jeremy;;1892;71.69;157;595;244;10;142;2;android
Xqlatath;;2001;72.88;156;393;96;16;110;1;android
Wisimar;;2068;71.81;156;573;112;14;126;10;ios
Korjun;;1918;72.25;153;521;132;10;135;5;android
Heshe;;2016;72.63;152;551;151;13;130;2;android
Corychase;;2009;71.81;152;565;106;11;136;4;windows
Drael;Centurion;2022;72.06;152;586;123;16;113;15;steam
Hero;;2089;71.19;151;505;137;7;153;0;ios
Dila;;2016;72.00;150;564;124;11;136;4;windows
Avram;;1403;72.06;148;549;56;19;88;0;ios
Vagasil;;1989;72.88;148;563;90;14;123;2;android
Buildgears;;1991;71.69;146;512;47;14;129;6;android
Orzurce;;1964;71.38;146;534;119;20;92;1;android
Boge;;1866;71.31;145;558;86;21;90;2;windows
Rozen;;1704;71.31;144;453;127;7;158;10;ios
Avus;;1960;71.56;144;532;116;15;126;12;steam
Cardinala;;1905;72.50;144;557;235;14;119;5;ios
Jeth;;1875;72.13;143;577;118;18;100;4;steam
Seeker;;1973;71.81;142;497;51;16;110;13;android
Erdigri;;1974;72.63;142;507;110;16;120;3;android
Hild;;1490;72.31;142;520;58;19;94;8;ios
Egiz;;1914;72.81;142;529;126;11;134;0;android
Bananabox;;1674;72.00;142;561;156;21;86;7;android
Oran;;1521;71.31;142;589;143;14;130;2;android
Hermes;;1960;71.69;141;427;120;21;83;1;android
Avrame;;1979;72.31;141;490;47;16;110;21;android
Sirci;;1099;72.50;141;509;96;9;148;2;ios
Lilith;;1620;71.75;141;513;85;17;105;3;android
Snusnu;;1963;70.31;141;548;92;12;135;14;android
Tina;;1143;71.69;141;575;67;16;111;1;ios
Afazzik;;2021;71.81;140;586;49;14;124;12;android
Arzekri;Challenger;2067;68.69;138;468;140;9;150;5;android
Caloth;;966;71.00;138;534;77;15;118;9;android
Huga;;1799;71.63;138;564;80;14;120;11;android
Gooberpea;;1845;72.13;137;478;64;18;100;9;windows
Offset;;1702;71.56;137;478;52;4;175;6;android
Wizjoel;;1734;71.94;137;485;86;20;94;3;android
Zovas;;1539;71.81;137;575;204;12;134;8;ios
Dirca;;1871;72.06;137;591;75;18;104;9;android
Bouncy;;1250;72.38;136;537;79;11;137;14;android
Avreha;;1101;71.50;136;558;55;12;133;6;ios
Shox;;1867;70.13;136;569;68;8;156;16;android
Imowoml;;1549;70.94;136;581;120;17;100;4;android
Nonsense;;2043;72.00;135;184;30;9;152;4;steam
Chinaf;;2002;70.94;135;193;31;10;144;0;ios
Inothid;;2017;71.63;135;200;134;20;92;1;steam
Ishem;;1875;72.13;135;253;61;18;109;0;android
Kelvinz;Challenger;1372;71.31;135;536;36;15;119;7;android
Devada;;1434;72.38;135;548;72;11;145;1;android
Arkania;Challenger;1695;71.81;134;314;57;5;169;0;steam
Gilat;;965;70.38;133;517;111;20;103;11;android
Isoso;;1989;72.19;133;556;129;10;142;6;ios
Ivera;;877;71.69;133;587;81;20;94;6;android
Ercem;;1696;72.31;132;553;126;22;102;25;android
Cila;;1275;71.38;131;317;55;12;131;3;android
Veronica;Challenger;1704;68.88;131;374;43;5;166;5;android
Sunrafri;;821;69.81;131;445;48;9;144;2;steam
Marigold;;1751;71.88;131;478;155;6;159;0;android
Bacon;;1355;71.94;131;595;65;18;99;17;ios
Rude;;1303;71.81;130;176;57;17;111;1;ios
Master;;1838;66.31;130;241;51;15;122;5;android
Certinni;;2002;72.06;130;291;199;3;174;0;android
Ashadrog;;1316;70.88;130;330;51;10;138;1;windows
Againkjy;;1597;71.88;130;383;209;9;153;0;android
Darian;;1981;71.56;130;387;140;5;181;3;android
Vard;;1405;71.94;130;472;68;18;111;5;steam
Ovija;;979;70.38;130;540;84;17;111;11;android
Killal;;829;69.25;130;547;119;20;96;4;android
Yoyo;;1699;71.31;130;559;119;8;154;6;android
Sildinafil;;1191;71.63;129;350;56;2;185;2;android
Jagnj;Centurion;1178;67.88;129;462;107;18;102;5;windows
Mack;Challenger;835;68.94;128;374;55;20;93;0;android
Oletug;;1013;70.31;128;529;107;18;104;8;android
Heguz;;1144;71.19;128;560;137;16;111;2;windows
Kurguni;;1268;70.88;128;578;156;16;118;21;android
Rastamanka;;819;70.69;127;296;126;15;116;1;android
Ekribat;;1111;71.56;127;539;104;11;149;19;android
Edgy;;1809;70.69;126;264;34;10;137;0;android
Wannabe;;1596;70.56;126;306;41;8;156;9;steam
Jude;;1144;71.38;126;332;86;13;127;2;ios
Juthi;;1442;70.88;126;333;130;11;143;1;windows
Hirzaz;;1928;71.63;126;408;64;16;112;0;android
Irdese;;885;71.31;126;426;75;16;121;7;steam
Morning;;1672;71.63;126;447;179;16;115;1;ios
Jirga;;966;71.38;126;470;66;26;65;7;android
Arcid;;1428;72.63;126;545;91;16;111;6;android
Liana;;1533;71.63;125;316;56;11;133;5;android
Denwayl;;1145;70.31;125;456;91;12;142;4;android
Tigrazei;;1872;72.75;125;584;276;19;106;2;android
Zima;;1181;70.75;124;546;89;4;176;0;android
Drago;;1035;71.00;124;572;145;11;134;3;android
Lodri;;1358;70.19;124;572;218;26;90;16;android
Fred;Challenger;1016;70.75;124;597;160;15;115;14;windows
Ilok;;1833;70.88;124;598;139;12;131;4;android
Nose;;1227;71.06;123;370;102;17;129;8;steam
Ivronrun;;746;70.31;123;460;78;17;106;3;amazon
Egardi;;903;71.13;123;557;104;16;109;10;android
Tetime;;1008;70.81;122;526;105;7;157;2;android
Ukraina;Challenger;1266;71.13;122;542;113;19;102;6;android
Meti;;852;71.31;121;419;70;21;91;5;android
Venomu;;1699;72.38;121;449;67;12;133;8;android
Acobiz;;1591;71.31;121;463;55;9;151;11;windows
Evod;;834;70.19;121;490;148;14;126;0;android
Svinka;;1670;70.94;121;506;100;14;133;17;steam
Kela;;1044;68.38;121;541;100;10;142;0;ios
Jissum;;1034;71.38;120;298;102;16;120;3;windows
Bulavka;;1337;70.81;120;465;53;9;145;5;android
Nibra;;676;68.44;120;557;80;16;112;0;ios
Irzi;;1586;71.00;120;562;73;14;125;12;android
Dullaba;;1276;71.56;120;575;74;10;146;2;android
Magox;;1212;71.19;120;584;89;16;111;0;windows
Aurora;;1229;71.00;120;594;69;13;128;2;android
Hrujda;;670;70.94;119;564;103;18;122;2;android
Ekrola;;1166;71.00;119;566;104;14;126;5;android
Cnmj;;1631;70.75;119;567;140;20;103;18;steam
Darkmagic;;1290;71.19;119;580;180;7;158;6;steam
Irtokra;;541;71.19;119;584;189;18;112;9;android
Jaga;;1543;70.31;118;354;95;6;163;0;ios
Zetha;Challenger;1236;72.69;118;357;93;13;122;2;android
Oshadek;;1172;68.56;118;367;58;7;158;10;android
Irank;;823;66.31;118;534;101;20;90;1;android
Irudoz;;1018;70.88;117;516;124;8;155;2;android
Lexa;;429;69.56;117;573;107;13;131;7;windows
Aliana;;861;69.75;116;231;43;13;124;0;android
Dallok;;933;70.63;116;386;118;13;131;0;android
Comingsoon;;1313;70.50;116;395;76;16;112;6;android
Morgana;;904;69.81;116;451;63;11;141;15;android
Otadri;;625;70.56;116;494;98;11;142;8;android
Ahren;;631;70.75;116;535;98;8;153;2;android
Jota;;529;71.06;116;556;129;16;115;0;windows
Beam;;1897;70.81;115;57;12;22;88;0;windows
Walyjon;;1098;71.56;115;212;43;10;143;3;android
Angourie;;1795;71.94;115;326;161;12;148;0;android
Joni;;1219;70.94;115;333;63;21;90;2;android
Sirronvier;;654;70.69;115;340;69;15;121;6;ios
Ereva;;1384;71.19;115;340;39;18;106;0;steam
Saki;;889;71.06;115;433;176;21;98;0;amazon
Maybequeen;;1733;70.44;115;436;37;6;154;1;android
Athak;;921;71.50;115;523;47;16;121;13;android
Virci;;1155;68.38;114;234;55;16;117;2;ios
Xeracu;;1119;68.88;114;390;89;15;122;2;android
Ethike;;855;71.13;114;532;98;13;121;3;android
Ojbk;;963;70.75;114;586;87;17;109;9;android
Michal;;1894;69.88;113;314;53;17;110;2;android
Ezezezezez;;1238;70.69;113;390;92;4;167;0;android
Neke;;1321;71.44;113;417;75;17;104;1;android
Kirten;;895;70.94;113;483;259;14;117;1;android
Fotezja;;763;70.06;113;523;86;20;89;8;android
Amiga;;770;70.94;113;525;160;14;117;5;android
Vinthraxis;;895;70.75;113;528;76;23;64;4;android
Fishcrack;;1158;71.13;113;542;137;18;101;8;android
Ozis;;538;70.44;113;554;149;7;159;0;android
Expci;;1207;70.44;113;562;95;8;152;11;ios
Datel;;694;65.38;113;568;115;15;112;8;android
Ziggansha;;1204;70.88;113;586;138;17;107;3;android
Girim;;1210;71.00;113;588;75;10;144;0;android
Merkin;;1377;71.38;112;332;53;14;129;12;android
Frosty;;1071;71.94;112;346;60;17;105;2;android
Kethema;;1789;71.31;112;357;83;7;152;0;ios
Acheshem;;878;71.06;112;447;82;12;140;4;android
Bugi;;1424;72.19;112;563;95;19;98;3;android
Egrata;;843;71.38;112;596;83;19;96;4;android
Ebonymaw;;655;70.88;111;389;52;16;108;8;steam
Oton;;1031;71.19;111;394;79;6;161;2;android
Tethet;;997;71.06;111;465;112;8;153;6;android
Demon;;507;65.88;111;469;67;3;175;4;ios
Lizzie;;852;71.31;111;527;41;8;152;4;android
Fireball;;1089;70.88;110;180;22;18;105;2;android
Arkantes;;941;71.25;110;229;132;15;129;0;windows
Vura;;561;69.88;110;293;49;12;135;3;android
Loban;;665;70.94;110;340;79;18;111;3;android
Cinrus;Centurion;841;71.38;110;579;108;9;149;4;android
Marw;;640;71.31;110;580;99;13;132;3;android
Lusha;;756;70.00;109;342;185;24;88;2;ios
Bomifre;;1109;70.50;109;394;59;17;111;14;android
Zeus;;1166;71.31;109;461;129;9;136;1;android
Hagrid;;772;70.94;109;484;54;11;135;4;ios
Zeus;;1405;70.75;109;539;188;11;137;2;steam
Vinlotus;;997;71.25;109;542;65;14;122;0;android
Obad;;1112;70.56;109;573;159;20;104;11;android
Odet;;1153;70.75;108;388;88;24;68;5;android
Kynetic;;509;70.63;108;397;57;16;111;2;steam
Mertethe;;876;68.13;108;458;208;17;113;6;android
Pola;;1114;68.81;108;462;80;15;118;3;android
Qting;;931;70.19;108;508;149;17;102;2;steam
Damage;;470;70.75;108;515;148;9;145;3;android
Nannyogg;;1140;69.81;107;369;22;10;137;1;ios
Jamanne;;682;70.25;107;431;168;15;155;6;android
Kedrin;;971;70.50;107;444;91;23;78;0;steam
Mable;Challenger;586;71.13;107;506;110;18;107;7;ios
Mujuk;;778;70.75;107;576;175;17;117;10;android
Fanny;;1054;71.06;107;597;100;5;170;12;android
Idelia;;468;67.69;106;248;16;22;89;1;amazon
Twosquare;;757;70.44;106;369;44;13;130;11;ios
Topg;;1179;71.25;106;528;141;21;89;3;ios
Boomboom;;628;70.63;106;533;90;16;113;4;amazon
Inol;;907;71.19;105;112;21;18;107;1;android
Arithom;;465;69.25;105;148;42;15;127;0;android
Starslayer;;936;70.19;105;254;123;10;147;0;android
Gine;;1423;70.81;105;257;58;21;96;3;android
Lemmie;;1050;71.00;105;313;29;15;119;0;android
Maji;;1357;71.19;105;316;45;15;115;1;android
Thistle;;340;69.69;105;334;49;19;101;5;ios
Stlges;;1033;68.44;105;405;22;13;131;5;android
Lemon;;842;70.44;105;412;53;19;98;8;ios
Logroci;;692;70.63;105;438;72;11;141;3;android
Mamaomida;;699;70.00;105;449;36;20;96;4;windows
Sevant;;523;70.44;105;463;59;14;128;0;ios
Gyat;;646;70.75;105;485;97;24;77;1;android
Jartoca;;643;70.69;105;502;83;11;140;2;steam
Smackthat;;1070;70.19;105;581;59;18;107;0;windows
Allura;;500;67.06;104;340;116;16;122;6;android
Dilbo;;807;68.31;103;392;78;6;171;3;android
Czmage;;821;69.56;103;403;82;15;124;0;windows
Hadi;;715;70.56;103;453;121;11;136;6;android
Kouson;;889;69.63;103;551;100;20;95;2;android
Eimer;;934;70.38;103;590;253;13;128;0;android
Ethad;;583;70.19;102;453;131;19;102;6;android
Laina;;696;69.69;102;559;132;17;113;7;ios
Gidul;;466;70.50;101;317;34;18;101;6;android
Tyra;;941;71.06;101;410;82;16;112;3;android
Zuki;;352;62.19;101;453;88;10;146;7;android
Idis;;940;70.69;101;508;215;18;101;0;android
Russia;;513;69.38;101;548;74;12;134;10;steam
Enraji;Challenger;685;67.44;100;150;30;13;133;3;steam
Tempy;;396;68.88;100;228;23;17;114;4;windows
Korguma;;860;70.13;100;256;26;16;115;0;android
Alevis;;770;69.63;100;257;96;8;155;0;steam
Gandolfo;;1036;71.13;100;269;118;15;123;0;android
Evevyn;;1074;70.44;100;299;99;15;132;1;steam
Jeve;;1458;71.00;100;301;61;19;98;1;android
Bere;;289;69.56;100;316;93;21;91;1;android
Vibriti;;547;70.50;100;349;24;11;148;8;steam
Mazakeen;;1133;70.88;100;364;44;12;138;1;android
Avani;;1041;71.25;100;370;66;10;141;1;ios
Erhail;;979;69.50;100;387;69;10;139;1;android
Atuk;;891;70.81;100;404;179;21;100;3;android
Scasscas;;791;70.31;100;414;39;19;97;0;android
Dasha;;677;69.63;100;471;27;9;143;11;windows
Booba;;769;71.19;100;479;71;17;117;7;ios
Liviche;;467;70.81;100;496;88;16;111;4;android
Vuiysxsvk;;472;70.19;100;519;134;9;151;2;ios
Illez;;769;70.50;100;523;85;13;124;14;android
Zero;;488;69.44;100;526;106;18;104;7;windows
Adetha;;848;70.19;100;574;67;18;108;37;android
Osannon;;396;64.13;100;589;128;12;138;1;android
Hades;;517;71.06;99;408;71;17;107;1;android
Giva;;526;70.75;99;571;118;24;67;4;ios
Jillese;;661;68.00;98;583;164;11;142;16;android
Nednekri;;627;70.50;97;548;296;17;105;0;android
Okahe;;563;70.44;97;566;126;11;139;4;steam
Midol;;899;70.00;96;371;75;12;129;4;ios
Tanya;;748;70.00;95;249;33;11;137;0;windows
Shawna;;642;56.88;95;284;83;0;194;1;android
Ekukra;;538;69.94;95;335;40;14;131;3;windows
Mulliji;;470;65.81;95;404;64;19;99;6;android
Nibla;;430;70.94;95;407;10;20;91;4;android
Surin;;913;69.00;95;412;119;11;139;6;android
Iris;;604;70.88;94;596;88;18;106;6;android
Ejachun;;471;70.25;93;314;215;13;129;0;steam
Tavaz;;426;71.06;93;358;73;14;125;1;android
Bafhol;;668;70.25;93;370;89;20;95;1;ios
Polgara;;298;68.06;93;465;35;11;140;6;android
Roman;;301;66.81;93;498;120;16;113;13;android
Rosa;;794;70.06;93;506;239;14;122;0;android
Fortuna;;619;70.31;93;598;341;20;98;0;android
Giza;;733;70.56;93;599;448;17;105;0;ios
Echihe;;334;70.69;92;535;323;5;168;1;android
Jela;;899;71.00;92;545;204;14;123;1;android
Ithiga;;987;70.56;91;332;88;8;159;5;ios
Movret;;467;65.88;90;306;108;11;143;2;android
Sheela;;486;70.38;90;409;202;17;119;2;android
Laura;Challenger;714;71.00;90;447;121;16;119;4;android
Kykapeky;Challenger;290;70.69;90;479;72;8;155;0;android
Ruze;;612;69.31;90;486;217;17;111;0;amazon
Lardass;;700;68.69;90;494;183;20;95;1;android
Nenira;;494;70.19;89;331;163;20;96;1;android
Merlin;;461;69.44;89;593;164;12;129;5;steam
Adnafras;;354;70.31;88;389;77;11;146;11;steam
Tunet;;477;70.56;87;317;42;10;147;5;ios
Roma;;706;69.19;87;503;278;12;129;2;android
Evul;;341;69.75;86;490;140;12;137;10;android
Warrr;;375;70.69;86;497;220;13;151;8;android
Avoz;;306;70.88;85;200;13;5;167;0;steam
Czyrka;;413;68.44;85;379;179;16;123;0;ios
Eboros;;500;69.75;85;412;187;22;100;2;android
Crysania;;393;69.00;84;279;183;15;126;1;steam
Meow;;491;69.75;84;405;93;11;140;6;android
Grey;;444;69.81;84;466;102;6;162;1;ios
Sije;;639;70.75;84;560;122;16;125;13;windows
Xxxxxx;;257;68.75;83;525;137;17;108;1;android
Ajek;;424;69.00;83;561;195;17;111;0;android
Nusha;;555;69.00;82;463;103;13;130;7;android
Buzzard;;579;66.13;82;588;83;13;131;8;android
Synn;;525;70.63;81;250;122;15;124;1;android
Abril;;205;69.94;80;234;38;7;162;1;ios
Daria;;632;69.56;80;433;210;14;128;0;android
Zusiba;;358;71.31;80;480;74;17;108;1;ios
Vicki;;383;69.75;80;492;250;21;94;3;android
Inrave;;477;70.69;80;530;161;10;157;2;android
Juzi;;319;69.00;80;587;220;10;149;0;ios
Fruity;;519;70.25;78;435;70;14;123;1;android
Desid;;224;65.38;78;489;286;26;110;0;ios
