Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Tathura;;2168;73.63;178;500;248;0;178;1;steam
Apple;;2164;73.25;178;527;295;0;187;1;windows
Chinanbgnb;;2102;73.81;178;552;303;0;179;1;steam
Arin;;2100;73.50;178;562;335;0;185;0;windows
Ovis;;2135;73.13;178;563;310;0;177;2;windows
Cannibal;;2105;72.94;175;466;168;0;181;2;steam
Marlboro;;2120;72.81;175;515;179;0;193;4;windows
Tempest;;2117;71.94;173;522;279;1;179;1;steam
Yana;Warlord;2093;73.56;172;595;331;2;168;1;steam
Yellow;;2035;73.06;170;450;142;0;196;0;steam
Zerka;;2166;73.19;170;461;138;6;146;2;windows
Korail;;2137;72.06;170;498;204;0;179;0;windows
Korkkkkkkk;Challenger;2038;69.63;168;556;346;0;174;2;android
Emily;;2081;72.56;168;572;278;7;142;3;steam
Bunny;;2093;72.63;168;599;348;3;164;0;ios
Kaikai;;2141;72.06;167;559;298;5;171;0;ios
Nethidra;;2104;72.19;167;588;365;0;184;0;windows
Giragira;;2028;72.00;166;542;261;4;160;10;windows
Nipsanhips;;2108;72.69;166;574;288;6;147;0;ios
Holycow;;2079;72.75;165;265;95;1;190;2;android
Vishnu;Centurion;2089;72.63;165;310;133;5;164;0;android
Berge;;2169;73.38;163;491;287;7;154;4;ios
Ruhagen;;2111;72.38;163;502;299;0;181;3;android
Specialk;;2033;72.00;163;556;286;5;161;3;android
Ichon;;2065;72.19;163;586;280;3;154;2;android
Lollipop;;2007;72.56;162;465;255;3;174;1;steam
Pimpmyass;;2029;71.75;162;533;268;0;192;1;android
Savage;;2019;72.63;161;520;245;14;102;0;ios
Omok;;2058;73.19;160;223;71;11;138;2;ios
Sonya;;2029;72.75;160;228;70;9;148;0;ios
Trials;Warlord;1965;72.75;160;253;89;2;180;0;steam
Tullige;;2057;73.06;160;266;118;11;137;2;ios
David;;2123;73.25;160;338;157;0;199;0;ios
Moning;;2054;71.38;160;395;133;4;177;2;windows
