Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Pellzar;;1571;71.63;136;453;189;17;113;38;android
Deham;;2009;71.50;133;484;261;14;124;9;android
Kikrethe;;1205;71.63;131;591;130;19;99;34;ios
Mogohi;;828;73.63;130;506;222;23;91;11;android
Sosipled;;944;71.00;129;594;161;10;148;45;android
Drizzt;;1167;71.19;128;563;240;14;122;2;ios
Karmus;;1023;71.81;128;584;188;4;169;23;android
Event;;1195;68.63;128;585;279;9;151;5;android
Bulletly;;1261;70.19;128;588;240;14;122;3;android
Zalupa;;900;70.31;126;564;145;10;143;11;android
Ijathuk;;1075;70.69;125;541;239;14;126;51;steam
Ithak;;857;70.31;123;406;174;26;69;5;android
Cipisek;;1039;71.94;123;501;246;11;142;6;android
Cherry;;971;71.06;123;527;171;18;105;18;android
Tegre;;723;69.81;123;598;270;6;162;4;android
Dokreg;;1133;70.94;122;489;231;11;138;16;android
Dvojka;;1202;70.56;121;399;98;9;149;3;android
Duha;;1017;70.88;121;557;211;22;80;5;android
Ajemek;;878;70.75;120;425;45;9;160;10;android
Unilolka;;801;71.31;120;515;182;14;129;16;android
Floppydisk;;2064;72.50;119;77;20;23;85;0;android
Koratop;;2032;72.13;119;78;14;9;150;0;android
Korbtop;;1997;71.50;119;85;21;14;124;0;android
Zodnin;;1513;72.44;119;145;31;14;126;2;steam
Tembak;;1161;71.06;119;280;97;10;144;5;android
Aasbomb;;706;70.56;119;452;107;16;118;19;android
Survive;;685;69.31;119;499;228;11;133;6;ios
Athaz;;638;70.81;119;547;204;27;78;14;steam
Miga;;1438;70.44;119;557;400;21;89;7;android
Tinky;;1074;70.31;117;280;100;17;111;1;ios
Idrici;;806;70.56;117;522;211;12;146;6;steam
Nefride;;698;71.44;117;545;157;3;180;9;android
Sunnuba;;698;70.44;117;577;214;12;136;18;android
Temeke;;999;72.69;116;343;105;17;114;0;ios
Mirt;;643;71.06;116;359;157;20;96;2;android
Obaz;;908;70.69;116;447;112;9;151;7;android
Hanim;;843;70.88;116;454;282;14;125;4;ios
Sakura;;894;70.69;116;515;183;19;104;13;android
Omurta;;863;70.50;115;339;81;18;109;3;android
Ivrinne;;1179;70.94;115;372;135;10;146;6;android
Chujus;;1043;70.56;115;417;126;10;151;12;ios
Darca;;1041;71.06;115;470;170;8;161;0;steam
Nehe;;904;70.88;115;488;292;17;121;7;steam
Apupaint;;908;70.94;115;494;214;6;175;26;ios
Dain;;705;70.19;115;546;155;19;98;15;windows
Cuvi;;1397;71.69;114;508;204;10;147;14;android
Adumi;;805;72.31;114;515;194;8;156;4;steam
Xlightx;;539;70.19;114;551;197;15;117;15;android
Zabuza;;868;70.56;113;397;175;14;128;2;ios
Chypa;;965;71.31;113;441;156;12;138;7;android
Angeloria;;911;70.50;113;476;151;22;86;9;android
