Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Bemi;;403;69.13;126;305;63;7;155;1;steam
Amot;;921;71.75;121;546;75;16;114;0;android
Dert;;734;71.00;118;513;63;13;127;12;android
Raii;;541;70.69;114;555;146;10;149;4;android
Wanda;;400;69.38;112;592;72;12;127;3;android
Diosnel;;388;70.75;111;561;73;19;101;12;android
Tira;;780;71.38;110;533;88;8;148;12;ios
Kirali;;475;70.44;108;453;60;15;112;1;android
Ithad;;797;69.75;107;549;228;28;57;10;steam
Organ;;759;70.44;101;565;251;7;158;0;steam
Tmom;;338;70.44;101;573;168;21;100;18;steam
Malmar;;428;70.25;99;582;117;11;135;10;epic
Soja;;478;70.75;97;531;148;3;171;4;steam
Sosil;;602;69.50;95;396;98;18;100;1;android
Ethozi;;421;69.88;95;407;70;9;153;7;ios
Nozida;;401;70.63;92;497;112;18;98;10;android
Email;;350;70.44;92;510;190;8;144;0;steam
Joshenni;;349;69.94;92;570;102;9;145;9;ios
Tetha;;316;70.31;91;287;97;4;161;3;android
Atega;;674;70.44;91;513;80;20;91;8;android
Ehud;;364;70.25;90;531;110;17;113;25;steam
Adaz;;547;70.25;90;575;267;17;114;17;android
Archanya;;393;70.31;89;353;86;16;115;1;android
Emig;;361;69.88;89;584;127;23;76;9;android
Gevegi;;456;70.56;88;469;148;8;173;2;android
Masa;;591;69.25;88;492;194;21;97;4;android
Ashoka;;380;70.75;88;495;209;14;127;1;steam
Esmeralda;;364;70.13;88;516;94;22;83;3;android
Iouyou;;344;70.38;88;588;235;20;103;0;ios
Magus;;304;70.25;87;324;151;21;96;3;android
Ithaz;;386;70.31;87;357;47;7;155;2;android
Nathi;;800;69.94;87;490;181;21;89;1;android
Oren;;506;70.88;87;551;251;15;113;3;android
Orpiohm;;534;69.56;87;564;89;12;140;3;android
Metallica;;614;70.13;86;446;104;18;105;9;android
Qwertyxyi;;381;70.13;86;562;309;24;90;3;android
Asobe;;559;70.50;85;289;122;17;111;0;android
Bele;;465;70.13;85;513;56;10;139;4;android
Dassmoke;;396;66.69;84;467;143;8;169;6;android
Avalei;;482;69.44;84;576;133;10;144;0;android
Damona;;289;68.13;83;433;208;9;148;5;android
Badmoon;;293;70.56;83;453;154;13;128;3;android
Barbie;;386;70.44;81;482;113;22;87;0;android
Zena;;351;68.69;81;490;21;19;91;8;steam
Magisk;;310;70.13;81;545;128;16;123;10;android
Munnum;;341;69.44;80;364;98;21;111;3;steam
Zalupen;;310;69.31;80;505;100;17;112;9;android
Curi;;650;69.50;79;46;10;13;131;0;android
Elak;;818;70.06;79;62;17;15;121;0;android
Moontide;;927;71.31;79;73;18;25;70;1;android
Lilith;;188;67.81;79;303;71;19;103;13;android
Bolis;;476;68.94;79;382;180;19;103;3;android
Zodra;;290;70.38;79;435;141;6;156;1;android
Sijete;;380;70.75;79;507;363;13;135;8;ios
Ogugiz;;261;69.69;79;577;128;13;130;4;android
Vesis;;328;69.69;78;320;116;17;115;2;android
Eternium;;405;69.88;78;330;117;10;150;5;android
Arcam;;328;68.75;78;571;184;14;133;11;android
Nocritdram;;304;69.75;77;408;111;16;131;3;android
Nela;;415;69.81;77;458;127;6;172;1;android
Amul;;280;69.19;77;514;150;6;178;0;android
Sneakapeek;;247;69.38;77;557;155;7;177;1;windows
Kugra;;241;70.25;77;580;355;14;136;12;android
Elus;;350;68.44;76;419;193;21;90;3;android
Modestor;;307;70.19;76;436;76;14;130;4;android
Mahaa;;281;70.38;76;478;215;11;139;2;android
Kiberbot;;333;70.50;76;488;151;20;105;6;android
Aret;;358;65.13;76;504;107;17;113;22;android
Arzuke;;262;69.56;75;370;36;18;101;2;ios
Lorale;;278;66.63;75;400;96;6;170;0;android
Kevodre;;380;69.50;74;358;169;12;129;0;android
Tutajutu;;578;70.50;74;401;106;6;162;4;android
Jerti;;397;70.19;74;514;203;15;120;6;steam
Jsjsks;;282;67.94;74;519;242;9;154;8;android
Herro;;227;69.56;73;370;91;15;116;0;android
Iluda;;401;68.63;73;415;126;13;131;20;ios
Callet;;285;66.88;73;475;124;9;150;4;windows
Ebuha;;207;66.69;72;340;33;15;117;0;ios
Galadriel;;231;69.25;72;396;125;12;145;0;android
Ibris;;300;69.75;71;477;144;13;130;7;android
Evefre;;170;50.38;70;273;26;12;135;0;steam
Ashel;;240;70.06;70;342;93;15;121;0;android
Abima;;242;71.00;70;365;96;11;143;4;windows
Kutid;;215;63.56;70;371;144;17;113;3;android
Ahol;;451;68.94;70;371;136;13;141;1;android
