Name;Title;ChampLv;AvgItemLv;TrialLv;TrialTime;BossTime;EliteKills;TrashKills;Deaths;Platform
Korno;;1916;72.13;180;557;167;17;112;18;windows
Korvictory;;1922;71.44;172;579;163;18;109;15;android
Shoot;;1941;71.38;169;473;7;18;109;16;steam
Manunited;;2033;72.31;168;488;129;14;125;4;steam
Soji;;2029;72.50;168;584;141;9;148;6;ios
Coshuji;;1903;71.94;168;598;236;7;168;4;windows
Deathwing;;2044;73.00;164;540;179;13;129;20;steam
Zike;;1912;71.38;162;558;79;12;137;7;steam
Korgulbang;;1916;72.19;157;483;205;9;149;2;android
Xico;;1854;71.38;155;582;122;7;158;21;steam
Zzzz;;1976;71.38;153;499;143;8;150;5;steam
Miranda;;1824;71.06;152;536;159;11;138;11;steam
Alegren;;1697;71.56;152;546;97;17;111;4;steam
Vali;;1947;71.56;149;549;225;12;128;12;android
Life;;1857;71.88;149;566;268;10;141;11;android
Pleiades;;1465;67.44;149;593;304;3;178;34;android
Ases;;2047;72.25;148;349;173;16;115;0;android
Hugot;;1559;72.25;148;504;167;11;136;7;android
Bathe;;1601;72.06;148;564;274;17;108;17;ios
Ballpwner;;1870;72.00;147;423;149;11;142;6;ios
Omirtog;;1210;72.44;147;553;216;10;146;7;android
Tivi;;1860;71.88;147;564;198;15;121;48;android
Aiotok;;1324;72.31;146;318;103;11;138;5;ios
Aaanda;;1736;70.88;146;557;167;11;136;5;android
Giji;;1784;71.44;146;571;219;18;104;5;ios
Kornew;;1616;71.56;145;420;113;7;160;3;windows
Hovri;;1979;71.06;144;461;252;5;168;9;android
Mocrassar;;1207;71.81;144;572;210;12;134;8;android
Walli;;1524;70.75;143;381;144;12;132;1;android
Blank;;1814;71.44;143;488;182;13;125;7;windows
Sexyasduck;;1712;71.81;143;528;231;11;137;7;ios
Pengpeng;;1819;71.25;143;586;218;16;122;24;android
Altay;;1908;71.19;142;558;254;16;117;49;steam
Fackir;;1567;71.75;142;559;245;9;146;19;steam
Ingrid;;1803;71.81;141;453;54;8;152;28;android
Aviva;;1382;71.44;141;485;107;11;138;12;android
Afanay;;1428;71.81;141;512;119;9;150;16;android
Tobrut;;1054;72.31;141;535;100;13;126;8;android
Deletable;;1483;70.94;140;404;75;17;111;6;windows
Darkangel;Centurion;1393;71.94;140;444;142;11;141;14;android
Ogrog;;1520;71.06;140;492;219;11;144;24;android
Garm;;1483;69.63;140;493;142;16;117;8;android
Idrol;;1731;72.13;140;525;76;15;122;24;ios
Malla;;1615;71.38;139;358;201;16;116;55;android
Iren;;1066;71.56;139;451;132;18;104;15;ios
Irdol;;854;72.06;139;455;270;20;93;18;android
Xavier;;1446;72.19;139;505;141;19;99;4;windows
Funz;;1265;72.19;138;426;66;18;106;10;steam
Stagnant;;1921;71.50;138;474;237;21;86;2;android
Umbra;;1422;72.06;138;572;329;9;156;15;android
Korseoplus;;1474;70.69;138;592;222;8;158;14;android
Nichole;;1238;70.69;137;404;79;12;136;6;android
Shoversky;;1331;71.81;137;496;217;6;159;8;android
Mete;;1754;71.44;137;507;92;15;121;31;windows
Misoza;;1717;71.50;137;542;91;20;97;39;ios
Meheni;;1131;71.50;137;588;251;4;168;10;steam
Bora;;1287;71.19;136;533;147;18;102;3;android
Zwitch;;1374;72.44;135;547;113;21;100;30;android
Allus;;1352;69.81;135;566;101;9;149;3;android
Jekrorke;;1105;71.81;134;435;120;16;118;29;windows
Kuda;Centurion;953;72.31;134;537;149;11;138;8;android
Diangeg;;1006;69.25;133;488;247;12;136;5;android
Zombi;;1939;72.19;133;501;242;18;104;8;ios
Ertoz;;1564;72.50;133;501;280;13;127;0;android
Zamira;;1656;71.63;133;508;312;17;113;10;steam
Odeseg;Challenger;1451;70.94;133;523;333;19;130;7;android
Uuuuuuuu;;1174;72.25;133;581;257;11;137;9;android
Disduster;;1323;70.88;133;595;290;13;126;17;android
Avtohunt;;1595;71.94;133;597;195;17;105;11;android
Korsehiha;;1442;71.25;132;351;129;12;143;18;android
Rase;;1546;70.44;132;409;191;16;112;6;android
Agadi;;936;71.13;132;431;96;14;122;11;steam
Ethoz;Challenger;1457;71.94;132;446;208;20;107;18;ios
Kronik;;1545;71.00;132;490;145;17;103;7;android
Chuffnut;;1587;71.19;132;517;192;6;160;5;android
Irgile;;1427;71.50;132;525;211;17;105;2;android
Adema;;614;71.50;132;545;202;11;136;18;android
Nemo;;1577;72.25;132;557;171;12;133;22;ios
Larzuga;;707;71.63;132;587;261;17;110;9;android
Suneje;;1088;72.00;131;470;117;14;121;14;android
Levron;;942;70.63;131;497;95;14;124;14;ios
Andrea;;878;71.19;131;532;109;18;100;8;android
Grid;;1130;71.63;130;383;147;4;182;14;android
